co-worker ˈkəʊ wɜːkə(r)  ˈkoʊ wɜːrkər
crayon ˈkreɪən  ˈkreɪən
cream kriːm  kriːm
crisp krɪsp  krɪsp
crossroads ˈkrɒsrəʊdz  ˈkrɔːsroʊdz
crosstalk ˈkrɒstɔːk  ˈkrɔːstɔːk
crown kraʊn  kraʊn
cupboard ˈkʌbəd  ˈkʌbərd
CV ˌsiː ˈviː  ˌsiː ˈviː
cybercrime ˈsaɪbəkraɪm  ˈsaɪbərkraɪm
damn dæm  dæm
damp dæmp  dæmp
darling ˈdɑːlɪŋ  ˈdɑːrlɪŋ
daylight ˈdeɪlaɪt  ˈdeɪlaɪt
daytime ˈdeɪtaɪm  ˈdeɪtaɪm
delicate ˈdelɪkət  ˈdelɪkət
depth depθ  depθ
devotion dɪˈvəʊʃn  dɪˈvoʊʃ(ə)n
dial ˈdaɪəl  ˈdaɪəl
dignity ˈdɪɡnəti  ˈdɪɡnəti
diligence ˈdɪlɪdʒəns  ˈdɪlɪdʒəns
diligent ˈdɪlɪdʒənt  ˈdɪlɪdʒənt
dimension daɪˈmenʃ(ə)n  daɪˈmenʃn; dɪˈmenʃn
dine daɪn  daɪn
dirt dɜːt  dɜːrt
disgusting dɪsˈɡʌstɪŋ  dɪsˈɡʌstɪŋ
doorway ˈdɔːweɪ  ˈdɔːrweɪ
downtown ˌdaʊnˈtaʊn  ˌdaʊnˈtaʊn
drawer drɔː(r)  drɔːr
drier ˈdraɪə(r)  ˈdraɪər
drought draʊt  draʊt
drown draʊn  draʊn
drum drʌm  drʌm
duckling eɪ  eɪ
dumb dʌm  dʌm
dustbin ˈdʌstbɪn  ˈdʌstbɪn
dye daɪ  daɪ
earnings ˈɜːnɪŋz  ˈɜːrnɪŋz
earplug ˈɪəplʌɡ  ˈɪrplʌɡ
earring ˈɪərɪŋ  ˈɪrɪŋ
Easter ˈiːstə(r)  ˈiːstər
Egyptian iˈdʒɪpʃn  iˈdʒɪpʃn
emperor ˈempərə(r)  ˈempərər
empire ˈempaɪə(r)  ˈempaɪər
enquiry ɪnˈkwaɪəri  ˈɪnkwəri
equator ɪˈkweɪtə(r)  ɪˈkweɪtər
erase ɪˈreɪz  ɪˈreɪs
ethnic ˈeθnɪk  ˈeθnɪk
eve iːv  iːv
eyesight ˈaɪsaɪt  ˈaɪsaɪt
eyewitness ˈaɪwɪtnəs  ˈaɪwɪtnəs
faint feɪnt  feɪnt
famine ˈfæmɪn  ˈfæmɪn
fantasy ˈfæntəsi  ˈfæntəsi
fare feə(r)  fer
fee fiː  fiː
fax fæks  fæks
feast fiːst  fiːst
fellow ˈfeləʊ  ˈfeloʊ
fingernail ˈfɪŋɡəneɪl  ˈfɪŋɡərneɪl
fireplace ˈfaɪəpleɪs  ˈfaɪərpleɪs
firewood ˈfaɪəwʊd  ˈfaɪərwʊd
firework ˈfaɪəwɜːk  ˈfaɪərwɜːrk
fixture ˈfɪkstʃə(r)  ˈfɪkstʃər
flame fleɪm  fleɪm
flameing An error occurred: 'simple'
flashlight ˈflæʃlaɪt  ˈflæʃlaɪt
flee fliː  fliː
flour aɪ  aɪ
forehead ˈfɔːhed; ˈfɒrɪd  ˈfɔːrhed
formation fɔːˈmeɪʃ(ə)n  fɔːrˈmeɪʃ(ə)n
fortnight ˈfɔːtnaɪt  ˈfɔːrtnaɪt
fountain tiː  tiː
fragrant ˈfreɪɡrənt  ˈfreɪɡrənt
franc fræŋk  fræŋk
freeway ˈfriːweɪ  ˈfriːweɪ
friction ˈfrɪkʃ(ə)n  ˈfrɪkʃ(ə)n
fried kənˈsʌmpʃ(ə)n  kənˈsʌmpʃ(ə)n
fry fraɪ  fraɪ
frontier ˈfrʌntɪə(r)  frʌnˈtɪr
funeral ˈfjuːnərəl  ˈfjuːnərəl
gallon ˈɡælən  ˈɡælən
gang ɡæŋ  ɡæŋ
garlic ˈɡɑːlɪk  ˈɡɑːrlɪk
generous ˈdʒenərəs  ˈdʒenərəs
genuine ˈdʒenjuɪn  ˈdʒenjuɪn
get-together ˈɡet təɡeðə(r)  ˈɡet təɡeðər
glare ɡleə(r)  ɡler
glorious ˈɡlɔːriəs  ˈɡlɔːriəs
glory ˈɡlɔːri  ˈɡlɔːri
goods ɡʊdz  ɡʊdz
gossip ˈɡɒsɪp  ˈɡɑːsɪp
granny ˈɡræni  ˈɡræni
grassland ˈɡrɑːslænd  ˈɡræslænd
Greece ɡriːs  ɡriːs
Greek ɡriːk  ɡriːk
greengrocer ˈɡriːnɡrəʊsə(r)  ˈɡriːnɡroʊsər
grocer ˈɡrəʊsə(r)  ˈɡroʊsər
