abortion əˈbɔːʃ(ə)n  əˈbɔːrʃ(ə)n
acquaintance əˈkweɪntəns  əˈkweɪntəns
adore əˈdɔː(r)  əˈdɔːr
aeroplane ˈeərəpleɪn  ˈerəpleɪn
air-conditioned ˈeə kəndɪʃ(ə)nd  ˈer kəndɪʃnd
alert ɡleɪd  ɡleɪd
alley ˈæli  ˈæli
aluminum əˈluːmɪnəm; əˈluːmənəm  əˈluːmɪnəm; əˈluːmənəm
anecdote ˈænɪkdəʊt  ˈænɪkdoʊt
anecdotal ˌænɪkˈdəʊt(ə)l  ˌænɪkˈdoʊt(ə)l
antarctic ænˈtɑːktɪk  ænˈtɑːrktɪk
antarctica ænˈtɑːktɪkə  ænˈtɑːrktɪkə
apron ˈeɪprən  ˈeɪprən
arch ɑːtʃ  ɑːrtʃ
Arab ˈærəb  ˈærəb
Arabic ˈærəbɪk  ˈærəbɪk
armchair ˈɑːmtʃeə(r)  ˈɑːrmtʃer
ash æʃ  æʃ
Atlantic ətˈlæntɪk  ətˈlæntɪk
atlas ˈætləs  ˈætləs
attentive əˈtentɪv  əˈtentɪv
attic ˈætɪk  ˈætɪk
authentic ɔːˈθentɪk  ɔːˈθentɪk
backache ˈbækeɪk  ˈbækeɪk
bakery ˈbeɪkəri  ˈbeɪkəri
balcony ˈbælkəni  ˈbælkəni
ballpoint ˈæksəltriː  ˈækslˌtri
bankrupt ˈbæŋkrʌpt  ˈbæŋkrʌpt
bang bæŋ  bæŋ
barn bɑːn  bɑːrn
bath bɑːθ  bæθ
bathtub ˈbɑːθtʌb  ˈbæθtʌb
bead biːd  biːd
beam biːm  biːm
bedding ˈbedɪŋ  ˈbedɪŋ
Belgian ˈtɪp ʌp  ˈtɪp ʌp
belly ˈbeli  ˈbeli
belt belt  belt
bench bentʃ  bentʃ
bestseller ˌbestˈselə(r)  ˌbestˈselər
billboard ˈbɪlbɔːd  ˈbɪlbɔːrd
bin bɪn  bɪn
birdcage ˈbɜːdkeɪdʒ  ˈbɜːrdkeɪdʒ
biscuit ˈbɪskɪt  ˈbɪskɪt
blackmail An error occurred: 'ukphone'
bleed ɡrəʊˈtesk  ɡroʊˈtesk
blend blend  blend
bless bles  bles
blister ˈblɪstə(r)  ˈblɪstər
blossom ˈblɒsəm  ˈblɑːsəm
blouse blaʊz  blaʊs
boast An error occurred: 'ukphone'
bold bəʊld  boʊld
bonus ˈbəʊnəs  ˈboʊnəs
booklet ˈbʊklət  ˈbʊklət
bookworm ˈbʊkwɜːm  ˈbʊkwɜːrm
botanical bəˈtænɪk(ə)l  bəˈtænɪk(ə)l
bounce baʊns  baʊns
bound baʊnd  baʊnd
boxing ˈbɒksɪŋ  ˈbɑːksɪŋ
boycott ˈbɔɪkɒt  ˈbɔɪkɑːt
brewery ˈbruːəri  ˈbruːəri
bridegroom ˈbraɪdɡruːm  ˈbraɪdɡruːm
brochure ˈbrəʊʃə(r)  broʊˈʃʊr
broom bruːm  bruːm
brotherhood ˈbrʌðəhʊd  ˈbrʌðərhʊd
brunch brʌntʃ  brʌntʃ
Buddhism ˈbʊdɪzəm  ˈbuːdɪzəm
Buddhist ˈbʊdɪst  ˈbuːdɪst
bulb bʌlb  bʌlb
bully ˈbʊli  ˈbʊli
bump bʌmp  bʌmp
bun bʌn  bʌn
bungalow ˈbʌŋɡələʊ  ˈbʌŋɡəloʊ
bureaucratic ˌbjʊərəˈkrætɪk  ˌbjʊrəˈkrætɪk
burglar ˈbɜːɡlə(r)  ˈbɜːrɡlər
butcher ˈbʊtʃə(r)  ˈbʊtʃər
cab kæb  kæb
calf aɪ  aɪ
carnival An error occurred: 'ukphone'
cart kɑːt  kɑːrt
cashier kæˈʃɪə(r)  kæˈʃɪr
cattle ˈkæt(ə)l  ˈkæt(ə)l
celebrity səˈlebrəti  səˈlebrəti
cellar ˈselə(r)  ˈselər
cement sɪˈment  sɪˈment
chamber ˈtʃeɪmbə(r)  ˈtʃeɪmbər
chant tʃɑːnt  tʃænt
cheek tʃiːk  tʃiːk
cheerleader ˈtʃɪəliːdə(r)  ˈtʃɪrliːdər
chest tʃest  tʃest
chewing ˈtʃuːɪŋ  ˈtʃuːɪŋ
chick ˌækrəʊˈkɑːpəs  ˌækroʊˈkɑːrpəs
chimney ˈtʃɪmni  ˈtʃɪmni
chorus ˈkɔːrəs  ˈkɔːrəs
chop tʃɒp  tʃɑːp
cigar sɪˈɡɑː(r)  sɪˈɡɑːr
circus ˈsɜːkəs  ˈsɜːrkəs
clause klɔːz  klɔːz
claw zed  ziː
cocoa ˈkəʊkəʊ  ˈkoʊkoʊ
collar ˈkɒlə(r)  ˈkɑːlər
coloring ˈkʌlərɪŋ  ˈkʌlərɪŋ
communism ˈkɒmjənɪzəm  ˈkɑːmjənɪzəm
communist ˈkɒmjənɪst  ˈkɑːmjənɪst
companion kəmˈpænjən  kəmˈpænjən
compliment ˈkɒmplɪmənt  ˈkɑːmplɪmənt
compulsory kəmˈpʌlsəri  kəmˈpʌlsəri
comrade ˈkɒmreɪd  ˈkɑːmræd
condemn kənˈdem  kənˈdem
continent ˈkɒntɪnənt  ˈkɑːntɪnənt
coral ˈkɒrəl  ˈkɔːrəl
cosy ˈkəʊzi  ˈkoʊzi
