grill ɡrɪl  ɡrɪl
grocer ˈɡrəʊsə(r)  ˈɡroʊsər
grocery ˈɡrəʊsəri  ˈɡroʊsəri
gruel ˈɡruːəl  ˈɡruːəl
gymnastics dʒɪmˈnæstɪks  dʒɪmˈnæstɪks
hack hæk  hæk
ham hæm  hæm
handbag ˈhændbæɡ  ˈhændbæɡ
handkerchief ˈhæŋkətʃɪf  ˈhæŋkərtʃɪf
hatch hætʃ  hætʃ
hatred ˈheɪtrɪd  ˈheɪtrɪd
hawk hɔːk  hɔːk
hay heɪ  heɪ
headmistress ˌhedˈmɪstrəs  ˌhedˈmɪstrəs
headteacher ˌhedˈtiːtʃə(r)  ˌhedˈtiːtʃər
heaven ˈhev(ə)n  ˈhev(ə)n
heel biː  biː
helmet ˈhelmɪt  ˈhelmɪt
high-rise ˈhaɪ raɪz  ˈhaɪ raɪz
hillside ˈhɪlsaɪd  ˈhɪlsaɪd
hilly ˈhɪli  ˈhɪli
holy ˈhəʊli  ˈhoʊli
hooked hʊkt  hʊkt
hostess ˈhəʊstəs  ˈhoʊstəs
housing ˈhaʊzɪŋ  ˈhaʊzɪŋ
howl haʊl  haʊl
humanity hjuːˈmænəti  hjuːˈmænəti
hurrah həˈrɑː  həˈrɑː
hurricane ˈhʌrɪkən  ˈhɜːrəkeɪn
hut hʌt  hʌt
idiom ˈɪdiəm  ˈɪdiəm
image ˈɪmɪdʒ  ˈɪmɪdʒ
imaginary ɪˈmædʒɪnəri  ɪˈmædʒɪneri
indoor ˈɪndɔː(r)  ˈɪndɔːr
inject ɪnˈdʒekt  ɪnˈdʒekt
injury ˈɪndʒəri  ˈɪndʒəri
injure ˈɪndʒə(r)  ˈɪndʒər
ink ɪŋk  ɪŋk
inn ɪn  ɪn
innocent ˈɪnəs(ə)nt  ˈɪnəs(ə)nt
insult ɪnˈsʌlt; ˈɪnsʌlt  ɪnˈsʌlt; ˈɪnsʌlt
invaluable ɪnˈvæljuəb(ə)l  ɪnˈvæljuəb(ə)l
Ireland ˈaɪələnd  ˈaɪərlənd
Irish ˈaɪrɪʃ  ˈaɪrɪʃ
italics ɪˈtælɪks  ɪˈtælɪks
Italy ˈɪtəli  ˈɪtəli
Italian ɪˈtæliən  ɪˈtæliən
jealous ˈdʒeləs  ˈdʒeləs
jog dʒɒɡ  dʒɑːɡ
joint dʒɔɪnt  dʒɔɪnt
junction ˈdʒʌŋkʃ(ə)n  ˈdʒʌŋkʃ(ə)n
keen kiːn  kiːn
kidney ˈkɪdni  ˈkɪdni
kindhearted ˈkaɪndˈhɑːtɪd  ˌkaɪnd ˈhɑːrtɪd
lace leɪs  leɪs
ladder ˈlædə(r)  ˈlædər
lame leɪm  leɪm
landlady ˈlændleɪdi  ˈlændleɪdi
lane leɪn  leɪn
laser ˈleɪzə(r)  ˈleɪzər
laundry ˈlɔːndri  ˈlɔːndri
lavatory ˈlævətri  ˈlævətɔːri
lawn lɔːn  lɔːn
leaflet ˈliːflət  ˈliːflət
league liːɡ  liːɡ
lean liːn  liːn
leather ˈleðə(r)  ˈleðər
left-handed ˌleft ˈhændɪd  ˌleft ˈhændɪd
leftover ˈleftəʊvə(r)  ˈleftoʊvər
legacy ˈleɡəsi  ˈleɡəsi
lemonade ˌleməˈneɪd  ˌleməˈneɪd
