notepad ˈnəʊtpæd  ˈnoʊtpæd
nuclear ˈnjuːkliə(r)  ˈnuːkliər
nucleus ˈnjuːkliəs  ˈnuːkliəs
numb nʌm  nʌm
nylon ˈnaɪlɒn  ˈnaɪlɑːn
observatory əbˈzɜːvətri  əbˈzɜːrvətɔːri
Oceania An error occurred: 'ukphone'
offshore ˌɒfˈʃɔː(r)  ˌɔːfˈʃɔːr
shore ʃɔː(r)  ʃɔːr
oilfield ˈɔɪlfiːld  ˈɔɪlfiːld
opener ˈəʊpənə(r)  ˈoʊpənər
orderly ˈɔːdəli  ˈɔːrdərli
ordered ˈɔːdəd  ˈɔːrdərd
orphan ˈɔːf(ə)n  ˈɔːrf(ə)n
Ottawa ˈɒtəwə  ˈɑːtəwə
outspoken aʊtˈspəʊkən  aʊtˈspoʊkən
overpass tekˈnɪʃ(ə)n  tekˈnɪʃ(ə)n
overtake ˌəʊvəˈteɪk  ˌoʊvərˈteɪk
overthrow ˌəʊvəˈθrəʊ  ˌoʊvərˈθroʊ
overtime ˈəʊvətaɪm  ˈoʊvərtaɪm
ox ɒks  ɑːks
Pacific pəˈsɪfɪk  pəˈsɪfɪk
pail peɪl  peɪl
pan pæn  pæn
pancake ˈpænkeɪk  ˈpænkeɪk
paperwork An error occurred: 'ukphone'
parachute ˈpærəʃuːt  ˈpærəʃuːt
Paris ˈpærɪs  ˈpærɪs
parliament ˈpɑːləmənt  ˈpɑːrləmənt
passage ˈpæsɪdʒ  ˈpæsɪdʒ
passer-by ˌpɑːsə ˈbaɪ  ˌpæsər ˈbaɪ
pat pæt  pæt
pavement ˈpeɪvmənt  ˈpeɪvmənt
pearl pɜːl  pɜːrl
peasant ˈpez(ə)nt  ˈpez(ə)nt
pedal ˈped(ə)l  ˈped(ə)l
penalty ˈpenəlti  ˈpenəlti
pence pens  pens
penny ˈpeni  ˈpeni
penguin ˈpeŋɡwɪn  ˈpeŋɡwɪn
perfection pəˈfekʃ(ə)n  pərˈfekʃ(ə)n
physician fɪˈzɪʃ(ə)n  fɪˈzɪʃ(ə)n
pickpocket ˈpɪkpɒkɪt  ˈpɪkpɑːkɪt
pine paɪn  paɪn
pineapple ˈpaɪnæp(ə)l  ˈpaɪnæp(ə)l
pint paɪnt  paɪnt
plateau ˈplætəʊ  plæˈtoʊ
playmate ˈpleɪmeɪt  ˈpleɪmeɪt
plough plaʊ  plaʊ
porridge ˈpɒrɪdʒ  ˈpɔːrɪdʒ
postage ˈpəʊstɪdʒ  ˈpoʊstɪdʒ
postbox ˈpəʊstbɒks  ˈpoʊstbɑːks
prairie ˈpreəri  ˈpreri
premier ˈpremiə(r)  prɪˈmɪr
prescription prɪˈskrɪpʃn  prɪˈskrɪpʃ(ə)n
priceless ˈpraɪsləs  ˈpraɪsləs
prosperity prɒˈsperəti  prɑːˈsperəti
prosperous ˈprɒspərəs  ˈprɑːspərəs
protest ˈprəʊtest  ˈproʊtest
pub pʌb  pʌb
pudding ˈpʊdɪŋ  ˈpʊdɪŋ
punctual ˈpʌŋktʃuəl  ˈpʌŋktʃuəl
punctuation ˌpʌŋktʃuˈeɪʃn  ˌpʌŋktʃuˈeɪʃ(ə)n
purse pɜːs  pɜːrs
pursue pəˈsjuː  pərˈsuː
pyramid ˈpɪrəmɪd  ˈpɪrəmɪd
quake kweɪk  kweɪk
questionnaire ˌkwestʃəˈneə(r)  ˌkwestʃəˈner
quilt kwɪlt  kwɪlt
radar ˈreɪdɑː(r)  ˈreɪdɑːr
radioactive ˌreɪdiəʊˈæktɪv  ˌreɪdioʊˈæktɪv
rag ræɡ  ræɡ
ragged ˈræɡɪd  ˈræɡɪd
ray reɪ  reɪ
receptionist rɪˈsepʃənɪst  rɪˈsepʃənɪst
recorder rɪˈkɔːdə(r)  rɪˈkɔːrdər
referee ˌrefəˈriː  ˌrefəˈriː
refund ˈriːfʌnd  ˈriːfʌnd
relay ˈriːleɪ  ˈriːleɪ
relic ˈrelɪk  ˈrelɪk
religion rɪˈlɪdʒən  rɪˈlɪdʒən
religious eɪ  eɪ
renewable rɪˈnjuːəb(ə)l  rɪˈnuːəb(ə)l
reporter rɪˈpɔːtə(r)  rɪˈpɔːrtər
reptile ˈreptaɪl  ˈreptaɪl
resign rɪˈzaɪn  rɪˈzaɪn
resume rɪˈzjuːm  rɪˈzuːm
retell ˌriːˈtel  ˌriːˈtel
rewarding rɪˈwɔːdɪŋ  rɪˈwɔːrdɪŋ
rewind ˌriːˈwaɪnd  ˌriːˈwaɪnd
rhyme raɪm  raɪm
