settler ˈsetlə(r)  ˈsetlər
shabby ˈʃæbi  ˈʃæbi
sharpener ˈʃɑːpnə(r)  ˈʃɑːrpnər
shave ˈænəlaɪz  ˈænəlaɪz
shaver ˈʃeɪvə(r)  ˈʃeɪvər
shopkeeper ˈʃɒpkiːpə(r)  ˈʃɑːpkiːpər
shore ʃɔː(r)  ʃɔːr
shrimp ʃrɪmp  ʃrɪmp
sideroad ˈsaɪdrəʊd  An error occurred: 'usphone'
sidewalk ˈsaɪdwɔːk  ˈsaɪdwɔːk
sideways ˈsaɪdweɪz  ˈsaɪdweɪz
sightseeing ˈsaɪtsiːɪŋ  ˈsaɪtsiːɪŋ
singular ˈsɪŋɡjələ(r)  ˈsɪŋɡjələr
skateboard ˈskeɪtbɔːd  ˈskeɪtbɔːrd
skate An error occurred: 'ukphone'
skull skʌl  skʌl
skyscraper ˈskaɪskreɪpə(r)  ˈskaɪskreɪpər
slip slɪp  slɪp
slipper ˈslɪpə(r)  ˈslɪpər
slogan ˈsləʊɡən  ˈsloʊɡən
sneaker ˈsniːkə(r)  ˈsniːkər
sneeze sniːz  sniːz
sob sɒb  sɑːb
socket ˈsɒkɪt  ˈsɑːkɪt
solo ˈsəʊləʊ  ˈsoʊloʊ
sore sɔː(r)  sɔːr
sow səʊ  soʊ
spade speɪd  speɪd
sparrow ˈspærəʊ  ˈspæroʊ
spear spɪə(r)  spɪr
spicy ˈspaɪsi  ˈspaɪsi
spice An error occurred: 'ukphone'
spit spɪt  spɪt
splash splæʃ  splæʃ
spoil An error occurred: 'ukphone'
spray spreɪ  spreɪ
stadium ˈsteɪdiəm  ˈsteɪdiəm
stain steɪn  steɪn
stainless ˈsteɪnləs  ˈsteɪnləs
stall stɔːl  stɔːl
staple ˈsteɪp(ə)l  ˈsteɪp(ə)l
statesman ˈsteɪtsmən  ˈsteɪtsmən
stateswoman ˈsteɪtsˌwʊmən  An error occurred: 'usphone'
steak steɪk  steɪk
steamer ˈstiːmə(r)  ˈstiːmər
steward ˈstjuːəd  ˈstuːərd
stewardess ˌstjuːəˈdes  ˈstuːərdəs
stiff stɪf  stɪf
stopwatch ˈstɒpwɒtʃ  ˈstɑːpwɑːtʃ
storey ˈstɔːri  ˈstɔːri
strain streɪn  streɪn
strait streɪt  streɪt
stroke strəʊk  stroʊk
strike straɪk  straɪk
stubborn piː  piː
submarine ˌsʌbməˈriːn  ˌsʌbməˈriːn; ˈsʌbməriːn
suburb ˈsʌbɜːb  ˈsʌbɜːrb
suicide ˈsuːɪsaɪd  ˈsuːɪsaɪd
suitcase ˈsuːtkeɪs  ˈsuːtkeɪs
sunburnt ˈsʌnbɜːnt  ˈsʌnbɜːrnt
sunrise ˈsʌnraɪz  ˈsʌnraɪz
sunset ˈsʌnset  ˈsʌnset
superb suːˈpɜːb  suːˈpɜːrb
supper ˈsʌpə(r)  ˈsʌpər
surplus ˈsɜːpləs  ˈsɜːrplʌs
swallow ˈswɒləʊ  ˈswɑːloʊ
Swiss swɪs  swɪs
Switzerland ˈswɪtsələnd  ˈswɪtsərlənd
tablet ˈtæblət  ˈtæblət
tailor ˈteɪlə(r)  ˈteɪlər
taxpayer ˈtækspeɪə(r)  ˈtækspeɪər
teamwork ˈtiːmwɜːk  ˈtiːmwɜːrk
teapot ˈtiːpɒt  ˈtiːpɑːt
