cognitive ˈkɒɡnətɪv  ˈkɑːɡnətɪv
protein ˈprəʊtiːn  ˈproʊtiːn
scale skeɪl  skeɪl
electronic ɪˌlekˈtrɒnɪk  ɪˌlekˈtrɑːnɪk
security sɪˈkjʊərəti  sɪˈkjʊrəti
employment ɪmˈplɔɪmənt  ɪmˈplɔɪmənt
productivity An error occurred: 'ukphone'
estimate ˈestɪmət; ˈestɪmeɪt  ˈestɪmət; ˈestɪmeɪt
yield jiːld  jiːld
demonstrate ˈdemənstreɪt  ˈdemənstreɪt
manufacture ˌmænjuˈfæktʃə(r)  ˌmænjuˈfæktʃər
recognition ˌrekəɡˈnɪʃn  ˌrekəɡˈnɪʃ(ə)n
destructive dɪˈstrʌktɪv  dɪˈstrʌktɪv
virtual ˈvɜːtʃuəl  ˈvɜːrtʃuəl
hazard ˈhæzəd  ˈhæzərd
tenant ˈtenənt  ˈtenənt
strategy ˈstrætədʒi  ˈstrætədʒi
formula ˈfɔːmjələ  ˈfɔːrmjələ
indifferent pləˈkeɪtəri  ˈpleɪkətɔːri
snail sneɪl  sneɪl
portray pɔːˈtreɪ  pɔːrˈtreɪ
primarily praɪˈmerəli  praɪˈmerəli
crucial ˈkruːʃ(ə)l  ˈkruːʃ(ə)l
autonomy ɔːˈtɒnəmi  ɔːˈtɑːnəmi
privacy ˈprɪvəsi  ˈpraɪvəsi
collaboration kəˌlæbəˈreɪʃ(ə)n  kəˌlæbəˈreɪʃ(ə)n
neglect nɪˈɡlekt  nɪˈɡlekt
exotic ɪɡˈzɒtɪk  ɪɡˈzɑːtɪk
irrigation ˌɪrɪˈɡeɪʃ(ə)n  ˌɪrɪˈɡeɪʃ(ə)n
multiple ˈmʌltɪp(ə)l  ˈmʌltɪp(ə)l
assert əˈsɜːt  əˈsɜːrt
texture ˈtekstʃə(r)  ˈtekstʃər
intimate ˈɪntɪmət  ˈɪntɪmət
guarantee ˌɡærənˈtiː  ˌɡærənˈtiː
household ˈhaʊshəʊld  ˈhaʊshoʊld
tribe An error occurred: 'ukphone'
existence ɪɡˈzɪstəns  ɪɡˈzɪstəns
whereas ˌweərˈæz  ˌwerˈæz
drill drɪl  drɪl
institute ˈɪnstɪtjuːt  ˈɪnstɪtuːt
