transmission trænzˈmɪʃ(ə)n  trænzˈmɪʃ(ə)n
inherit ɪnˈherɪt  ɪnˈherɪt
testimony ˈtestɪməni  ˈtestɪmoʊni
provoke prəˈvəʊk  prəˈvoʊk
conform kənˈfɔːm  kənˈfɔːrm
miniature ˈmɪnɪtʃə(r)  ˈmɪnətʃər
temper ˈtempə(r)  ˈtempər
ape eɪp  eɪp
incredible ɪnˈkredəb(ə)l  ɪnˈkredəb(ə)l
evident ˈevɪdənt  ˈevɪdənt
incur ɪnˈkɜː(r)  ɪnˈkɜːr
residential ˌrezɪˈdenʃ(ə)l  ˌrezɪˈdenʃ(ə)l
paradise ˈpærədaɪs  ˈpærədaɪs
patrol pəˈtrəʊl  pəˈtroʊl
resistant rɪˈzɪstənt  rɪˈzɪstənt
verge vɜːdʒ  vɜːrdʒ
legitimate lɪˈdʒɪtɪmət  lɪˈdʒɪtɪmət
convey kənˈveɪ  kənˈveɪ
depress dɪˈpres  dɪˈpres
casual ˈkæʒuəl  ˈkæʒuəl
overstate ˌəʊvəˈsteɪt  ˌoʊvərˈsteɪt
presume prɪˈzjuːm  prɪˈzuːm
imminent ˈɪmɪnənt  ˈɪmɪnənt
originate əˈrɪdʒɪneɪt  əˈrɪdʒɪneɪt
robust rəʊˈbʌst  roʊˈbʌst
dedicate ˈdedɪkeɪt  ˈdedɪkeɪt
alleviate əˈliːvieɪt  əˈliːvieɪt
midst mɪdst  mɪdst
colonial kəˈləʊniəl  kəˈloʊniəl
transcend trænˈsend  trænˈsend
linger ˈlɪŋɡə(r)  ˈlɪŋɡər
violate ˈvaɪəleɪt  ˈvaɪəleɪt
calcium ˈkælsiəm  ˈkælsiəm
