exceed              动 超过 如数量大小上更多 超过界限超出预期
logical             形 逻辑的合理的 属于或符合逻辑或形式论证规则的:
resign              动 辞职 自愿离开工作或办公室 听任 resign oneself to 接受无法避免的不想要的事 如听任爱情结束
deploy              动 部署 调动(部队或装备)进入军事行动的位置 军事用语 有效利用 对...采取有效行动 如资源
infinite            形 无限的 在空间、范围或大小上无限的或无尽的;无法测量或计算的 极大的 数量和程度上非常大 形似finite definitely 元音变
autonomous          形 自治的 (指一个国家或地区)有自治或控制自己事务的自由的 自主的 有act independently的自由 意似empower warrant
sneak               动 偷偷移动走动即溜 非滑 偷偷做 偷偷摸摸地做或获得(某物)  打小报告 (尤指儿童)告知成年人或当权者同伴的恶行; 名 打小报告者 同根词sneaker  形似sneeze
metropolitan        形 大都市的 关于或表示大都市 
incline             动 倾向于愿意做某事 倾斜 从给定的平面或方向倾斜或转向，尤指垂直或水平平面 低头抬头 向前和向下弯曲(头) 名 斜坡 slope 名 斜坡 名动 倾斜
susceptible         形 易受影响的 可能或容易受到某一特定事物的影响或伤害的 善感的 易受感情或情绪影响的;敏感的
jeopardize          动 危及 把(某人或某物)置于有损失、伤害或失败危险的境地
ordeal              名 磨难 一次非常不愉快的长时间经历
notorious           形 臭名昭著的众人皆知的 出名的或众所周知的，尤指因某些坏的品质或行为而出名的
polytechnic         名 理工学院 英国的理工学院已在1989后改名为university该词不再使用 词源poly有many的意思
discard             动 丢弃 把不再有用或不受欢迎的(某人或某物)除掉 如丢弃衣服 名 被丢弃抛弃的人物
electricity         名 电 一种由带电粒子(如电子或质子)的存在而产生的能量形式，静态地表现为电荷的积累或动态地表现为电流
evaluate            动 评价 形成对…的数量、数量或价值的概念;评估 估值 找出(方程式、公式或函数)的数值表达式或等价物
precious            形 贵重的 价值巨大的;不能被浪费或随意对待的 物理价值高 珍贵的 被某人深爱或珍视的 抽象价值高 也可以用于强调特别是在反语中
orient              名 东亚或亚洲诸国 the Orient 和the Occident相对 西亚诸国 文学用语 动 对齐朝向 将(某物)与罗盘或其他特定位置的点对齐或放置 如oriented in direct line with和什么成直线 熟悉环境确定方位 在不熟悉的环境中找到自己的位置 用法to orient oneself 引导带路 引导(某人)到一个特定的方向: 使适应 使(某物)适应特定的环境: 读音和音标那个元音似乎不匹配 同根词orientation
lawsuit             名 诉讼 提交到法庭等待裁决的争议 意似sue
compensate          动 补偿赔偿 给人某物尤指金钱，以表示对所遭受的损失痛苦或伤害的承认 弥补 通过施加相反的力量或效果来减少或抵消(不受欢迎或不愉快的事物): 用法compensate for 意似remedy 名 治疗药物用于疾病或受伤 抵制消除不想要事物的手段翻译为改进措施不合适吧弥补合适 法律上的补偿赔偿
liability           名 责任 对某物负有法律责任的状态 对钱的责任就是债务 某人负责的东西，尤指所欠的钱 不利条件 其存在或行为可能使某人处于不利地位的人或物  词根liable 名 负法律责任的 如父母对孩子行为负责 受法律约束的  subject by law 可能的同likely
ridiculous          形 荒谬可笑的 值得或招致嘲笑嘲弄的;荒谬的:
diesel              名 柴油发动机 同diesel engine 柴油 同diesel oil 词源发明内燃机的工程师的名字
spacious            形 宽敞的 有充足空间的(尤指房间或建筑物): 词源space
hamper              名 大篮子 有提手和有铰链盖的篮子，野餐时用来装食物、餐具和盘子 动 阻碍 阻碍…的运动或进展 意似hinder 辨析hamper hinder 两者几乎一致很多人不知道确切的区别"Hinder" 是常说的 创造了困难阻碍障碍啥的 "Hamper"是说阻碍了某件事 在这件事发展的过程中 不能在进程的开始时说hamper
cumulative          形 累积的 通过连续的增加实现增加数量、程度或力量 词根cumulate 尾部元音变 形似accumulate 动 积累 辨析cumulate accumulate ac 是一再的意思 cumulate就是堆积的动词 加ac可以理解为一再堆积 有一种加强的味道 英语中 有很多这样的组合
unleash             动 解开狗的皮带 解除束缚 使(强大的或暴力的力量)被释放或变得不受约束;  来自leash 名动 牵狗带 限制
aggregate           形 总的 由几个单独的元素组合而成或计算出来的;总计 如总量 名 总体总数 由几个独立的元素组合而成的整体 聚合体 由大量碎片或颗粒松散地压在一起形成的材料或结构
align               动 对齐 把(东西)放在一条直线上 提供支持(个人、组织或事业) 用法align oneself with 结盟 如align against the foe 自是词根 alliance 联盟 形似alien 名 外国人 外星人 ally 名 同盟
minority            名 少数 较小的数字或部分，尤指少于整体一半的数字或部分 少数民族 未成年 未达到完全法律责任年龄的状态或时期
readily             形 乐意的 毫不犹豫或不情愿的 容易的 毫不拖延或困难地 词根ready
magnify             动 放大 物理上的放大 使(某物)显得比实际大，尤指用镜头或显微镜 夸大 抽象上的放大 增加或夸大…的重要性或效果 同根词magnification
