voluntary ˈvɒləntri  ˈvɑːlənteri
intrigue ɪnˈtriːɡ  ɪnˈtriːɡ
melody ˈmelədi  ˈmelədi
mansion ˈmænʃ(ə)n  ˈmænʃ(ə)n
chase tʃeɪs  tʃeɪs
award əˈwɔːd əˈwɔːrd
trillion ˈtrɪljən  ˈtrɪljən
slash slæʃ  slæʃ
oak əʊk  oʊk
realistic ˌriːəˈlɪstɪk  ˌriːəˈlɪstɪk
idol ˈaɪdl ˈaɪdl
deliberate dɪˈlɪbərət  dɪˈlɪbərət
optimism ˈɒptɪmɪzəm  ˈɑːptɪmɪzəm
precise prɪˈsaɪs  prɪˈsaɪs
compose kəmˈpəʊz  kəmˈpoʊz
intimidate ɪnˈtɪmɪdeɪt  ɪnˈtɪmɪdeɪt
surpass səˈpɑːs  sərˈpæs
discourse ˈdɪskɔːs  ˈdɪskɔːrs
output ˈaʊtpʊt  ˈaʊtpʊt
adhere ədˈhɪə(r)  ədˈhɪr
embed ɪmˈbed  ɪmˈbed
prey preɪ  preɪ
breakdown ˈbreɪkdaʊn  ˈbreɪkdaʊn
descendant dɪˈsendənt  dɪˈsendənt
legend ˈledʒənd  ˈledʒənd
random ˈrændəm  ˈrændəm
psychiatrist saɪˈkaɪətrɪst  saɪˈkaɪətrɪst
seemingly ˈsiːmɪŋli  ˈsiːmɪŋli
turmoil ˈtɜːmɔɪl  ˈtɜːrmɔɪl
legacy ˈleɡəsi  ˈleɡəsi
inspiration ˌɪnspəˈreɪʃ(ə)n  ˌɪnspəˈreɪʃ(ə)n
prejudice ˈpredʒədɪs  ˈpredʒədɪs
cricket ˈkrɪkɪt ˈkrɪkɪt
