empirical           形 经验主义的 基于、关于或可以通过观察或经验而不是理论或纯逻辑来证实的:
relentless          形 持续的不停的 不停的持续的intense 如不停的炎热 无情的固执的 harsh or inflexible 自是词根 词源relent
extent              名 大小 区域的大小 某物的大小规模 如全球变暖的规模 程度 某事被认为是或被认为是情况的特定程度 如to some extent
simultaneous        形 同时发生进行的 同时发生、同时操作或同时完成的 意似synchronous
wrestle             动 摔跤扭打 参加一场殴斗，无论是作为运动还是认真的，包括与对手扭打并试图把他们摔倒或迫使他们摔倒在地 奋力对付 与困难或问题作斗争 名 摔跤扭打 艰苦的斗争
saturate            动 湿透浸透 使(某物)被水或其它液体彻底浸透，使其不再被吸收 关键词不再吸收程度比soak深 充满 用某物填满(某物或某人)，直到再也拿不住或吸收不了为止 如空气充满食物味道 饱和 供给(市场)超出了对产品的需求得到满足的程度 意似soak
insert              动 插入 物理上的 也可以是文章中插入文字
contend             动 斗争 努力克服(困难)同struggle 竞争 为达到(某物)而与他人竞争同compete 主张断言 在论证中断言某物 用法contend that 同根词contention 
chunk               名 大块 一块厚的、坚固的东西 大量 某物的相当数量 用法a chunk of 计算机中的数据块 动 将物体分成chunk
stump               名 树墩 大部分树干倒下或被砍倒后从地面突出的树的底部 残余部分 某物被切断、折断或磨损后的小的突出的残余物 如铅笔头截肢 动 非正式用法难住 (指问题或问题)难以解决的 脚步重重的走 walk stiffly and noisily
legislation         名 法律 集合名词？ laws, considered collectively 立法 制定或颁布法律的过程:
crave               动 渴望 对(某物)有强烈的渴望 古语恳求 ask for 用法恳求原谅  形似craze 名 狂热 一种针对于快速风靡但是短暂寿命之物的热情 动 发狂即某人失去理智和控制 物体表面出现裂纹网如湖面 和crane起重机鹤伸长挺像 竟然是crazy词根 crane cane
probe               名 探针 一种钝端外科器械，用于探查伤口或身体的一部分 确实有这种东西 探测仪 一种小装置，尤指电极，用于测量、测试或获取信息 调查探究 对犯罪或其他事件如神秘事件的彻底调查 动 探测探索 用手或仪器进行身体探索或检查(某物) 调查探究 挖掘某人或某事的信息：
repay               动 偿还借款 报答 做某事或给予某事以回报(所受的恩惠或好意)
civic               形 市政的同municipal 城市的 与人们在城镇、城市或当地的职责或活动有关的:
transit             名 运输 将人或物从一地运送到另一地 通过 通过或穿过某地的动作 动 穿过 pass across or through (an area) 注意动词确实少个意思 形似transmit 动 传播 如知识性病情绪 播送 广播或发出(电子信号、广播或电视节目) 物理上的传播 允许(热、光、声、电或其它能量)通过介质
render              动 提供或给予(服务、帮助等) 如services rendered提供帮助 使成为 cause to be or become; make 如使逃跑不可能 描绘渲染 艺术地表现或描绘
toxic               形 有毒的即poisonous 有害的 以普遍的或阴险的方式非常有害或令人不快的 如有害关系有害工作环境
redundant           形 多余的 如技能语言 不再需要或不再有用的 被裁员的 (指某人)由于没有更多的工作可做而不再受雇的 冗余的 (指一个部件)不是严格意义上工作所必需的，但在另一个部件发生故障时需要 工程学术语
dominant            形 支配的 对他人有权力和影响的 词根dominate 
impart              动 传授 make (information) known 如老师传授学生 形似impact 带来bestow (a quality) 如氛围风味
hemisphere          名 半球体 半球 如地球东半球 注意sphere是球体 semisphere也有
band                名 带状物 扁平的细条或环形材料，用作紧固件、加固物或装饰物 如纸带一束阳光 一帮人 有共同兴趣或目的或有共同特点的一群人 乐队 演奏流行音乐、爵士乐或摇滚乐的一小群音乐家和歌手 形似brand 
activate            动 启动触发 make (something) active or operative开始运转 同根词activity active
parameter           名 参数 定义系统或设置其运行条件的一组数字或其他可测量的因素 界限 限定特定过程或活动范围的限制或边界 如设置界限在界限内
patron              名 赞助人 向某人、组织或事业提供财政或其他支持的人 顾客 商店、餐馆等的顾客，尤指常客
relief              名 解脱轻松 从焦虑或痛苦中解脱后的安心和放松的感觉 减轻缓和 减轻痛苦、不适或苦恼的 救助 给予有特殊需要或困难的人的经济或实际援助 自是词根
comprehension       名 理解能力 同根词comprehensive 形 全面的 某物所有几乎所有元素或方面
instrument          名 仪器器械 尤指用于精密工作的工具或工具 乐器又做musical instrument 产生音乐声音的物体或装置
settlement          名 协议解决 旨在解决争端或冲突的正式协议 定居点 人们建立社区的地方，尤指以前无人居住的地方 建立定居点的过程 支付偿清欠款 结帐的行为或过程
endeavor            动 努力 try hard to do or achieve something 名 尝试 an attempt to achieve a goal 努力 认真的、持久的和勤奋的努力
slump               名动 骤降萧条 某物价格、价值或数量的突然严重或持续的下跌 动 重重地坐下倒下  sit, lean, or fall heavily and limply 形似slum
engagement          名 订婚 结婚的正式协议 约会约定 在固定时间做某事或去某地的安排 形似 emergency 名 紧急情况 emerge 动 出现 兴起 emergence 名 出现
