hover ˈhɒvə(r) ˈhʌvər
grim ɡrɪm  ɡrɪm
embody ɪmˈbɒdi  ɪmˈbɑːdi
frantic ˈfræntɪk  ˈfræntɪk
fiscal ˈfɪsk(ə)l  ˈfɪsk(ə)l
unfold ʌnˈfəʊld  ʌnˈfoʊld
medieval ˌmediˈiːv(ə)l  ˌmiːdˈiːv(ə)l
underlie ˌʌndəˈlaɪ  ˌʌndərˈlaɪ
reception rɪˈsepʃ(ə)n  rɪˈsepʃ(ə)n
substantial səbˈstænʃ(ə)l  səbˈstænʃ(ə)l
deadly ˈdedli  ˈdedli
hybrid ˈhaɪbrɪd  ˈhaɪbrɪd
segregate ˈseɡrɪɡeɪt  ˈseɡrɪɡeɪt
plunge plʌndʒ  plʌndʒ
rivalry ˈraɪv(ə)lri  ˈraɪv(ə)lri
enrich ɪnˈrɪtʃ  ɪnˈrɪtʃ
masterpiece ˈmɑːstəpiːs  ˈmæstərpiːs
aspire əˈspaɪə(r)  əˈspaɪər
glacier ˈɡlæsiə(r)  ˈɡleɪʃər
compact kəmˈpækt  kəmˈpækt
mindset ˈmaɪndset  ˈmaɪndset
fantastic fænˈtæstɪk  fænˈtæstɪk
longevity lɒnˈdʒevəti  lɔːnˈdʒevəti
proposition ˌprɒpəˈzɪʃ(ə)n  ˌprɑːpəˈzɪʃ(ə)n
watt wɒt  wɑːt
syndrome ˈsɪndrəʊm  ˈsɪndroʊm
illiterate ɪˈlɪtərət  ɪˈlɪtərət
grid ɡrɪd  ɡrɪd
comparable ˈkɒmpərəb(ə)l  ˈkɑːmpərəb(ə)l
dissertation ˌdɪsəˈteɪʃ(ə)n  ˌdɪsərˈteɪʃ(ə)n
identification aɪˌdentɪfɪˈkeɪʃ(ə)n  aɪˌdentɪfɪˈkeɪʃ(ə)n
standpoint ˈstændpɔɪnt  ˈstændpɔɪnt
dwell dwel  dwel
