wither ˈwɪðə(r)  ˈwɪðər
aggravate ˈæɡrəveɪt  ˈæɡrəveɪt
interface ˈɪntəfeɪs ˈɪntərfeɪs
criticize ˈkrɪtɪsaɪz ˈkrɪtɪsaɪz
merge mɜːdʒ  mɜːrdʒ
simulate ˈsɪmjuleɪt  ˈsɪmjuleɪt
spider ˈspaɪdə(r)  ˈspaɪdər
polish ˈpɒlɪʃ  ˈpɑːlɪʃ
imperative ɪmˈperətɪv  ɪmˈperətɪv
timely ˈtaɪmli  ˈtaɪmli
essence ˈes(ə)ns  ˈes(ə)ns
illuminate ɪˈluːmɪneɪt  ɪˈluːmɪneɪt
stability stəˈbɪləti  stəˈbɪləti
allure əˈlʊə(r)  əˈlʊr
stigma ˈstɪɡmə  ˈstɪɡmə
iceberg ˈaɪsbɜːɡ  ˈaɪsbɜːrɡ
morale məˈrɑːl  məˈræl
revive rɪˈvaɪv  rɪˈvaɪv
brink brɪŋk  brɪŋk
ego ˈiːɡəʊ  ˈiːɡoʊ
demographic ˌdeməˈɡræfɪk  ˌdeməˈɡræfɪk
folklore ˈfəʊklɔː(r)  ˈfoʊklɔːr
furious ˈfjʊəriəs  ˈfjʊriəs
surveillance sɜːˈveɪləns  sɜːrˈveɪləns
contagious kənˈteɪdʒəs  kənˈteɪdʒəs
monotony məˈnɒtəni  məˈnɑːtəni
affix əˈfɪks  əˈfɪks
snatch snætʃ  snætʃ
thorn θɔːn  θɔːrn
artery ˈɑːtəri  ˈɑːrtəri
remnant ˈremnənt  ˈremnənt
tuck tʌk  tʌk
notify ˈnəʊtɪfaɪ  ˈnoʊtɪfaɪ
