interfere ˌɪntəˈfɪə(r)  ˌɪntərˈfɪr
etiquette ˈetɪkət  ˈetɪkət
lofty ˈlɒfti  ˈlɔːfti
dread dred  dred
huddle ˈhʌd(ə)l  ˈhʌd(ə)l
dogma ˈdɒɡmə  ˈdɔːɡmə
senator ˈsenətə(r)  ˈsenətər
retort rɪˈtɔːt  rɪˈtɔːrt
heighten ˈhaɪt(ə)n  ˈhaɪt(ə)n
facet ˈfæsɪt  ˈfæsɪt
differentiate ˌdɪfəˈrenʃieɪt  ˌdɪfəˈrenʃieɪt
mar mɑː(r)  mɑːr
endow ɪnˈdaʊ  ɪnˈdaʊ
sinister ˈsɪnɪstə(r)  ˈsɪnɪstər
prosper ˈprɒspə(r)  ˈprɑːspər
verse vɜːs  vɜːrs
rectify ˈrektɪfaɪ  ˈrektɪfaɪ
downgrade ˌdaʊnˈɡreɪd  ˌdaʊnˈɡreɪd
conceive kənˈsiːv  kənˈsiːv
ritual ˈrɪtʃuəl  ˈrɪtʃuəl
thermal ˈθɜːm(ə)l  ˈθɜːrm(ə)l
herald ˈherəld  ˈherəld
derail diːˈreɪl  diːˈreɪl
intersection ˌɪntəˈsekʃn  ˌɪntərˈsekʃ(ə)n
capsule ˈkæpsjuːl  ˈkæps(ə)l
disperse dɪˈspɜːs dɪˈspɜːrs
inventory ˈɪnvəntri  ˈɪnvəntɔːri
sprawl sprɔːl  sprɔːl
grieve ɡriːv  ɡriːv
mentor ˈmentɔː(r)  ˈmentər
refute rɪˈfjuːt  rɪˈfjuːt
grope ɡrəʊp  ɡroʊp
articulate ɑːˈtɪkjuleɪt  ɑːrˈtɪkjuleɪt
