dome dəʊm  doʊm
outbreak ˈaʊtbreɪk  ˈaʊtbreɪk
dodge dɒdʒ  dɑːdʒ
ail eɪl  eɪl
economical ˌiːkəˈnɒmɪk(ə)l  ˌiːkəˈnɑːmɪk(ə)l
negligent ˈneɡlɪdʒənt  ˈneɡlɪdʒənt
intelligible ɪnˈtelɪdʒəb(ə)l  ɪnˈtelɪdʒəb(ə)l
tan tæn  tæn
flirt flɜːt  flɜːrt
persuasion pəˈsweɪʒ(ə)n  pərˈsweɪʒ(ə)n
degenerate dɪˈdʒenəreɪt  dɪˈdʒenəreɪt
spaghetti spəˈɡeti  spəˈɡeti
escort ˈeskɔːt  ˈeskɔːrt
fracture ˈfræktʃə(r)  ˈfræktʃər
compress kəmˈpres  kəmˈpres
twist twɪst  twɪst
overturn ˌəʊvəˈtɜːn  ˌoʊvərˈtɜːrn
scrutiny ˈskruːtəni  ˈskruːtəni
disastrous dɪˈzɑːstrəs  dɪˈzæstrəs
permeate ˈpɜːmieɪt  ˈpɜːrmieɪt
instrumental ˌɪnstrəˈment(ə)l  ˌɪnstrəˈment(ə)l
spotlight ˈspɒtlaɪt  ˈspɑːtlaɪt
hurl hɜːl  hɜːrl
aftermath ˈɑːftəmæθ  ˈæftərmæθ
coincidence kəʊˈɪnsɪdəns  koʊˈɪnsɪdəns
operative ˈɒpərətɪv  ˈɑːpərətɪv
sentiment ˈsentɪmənt  ˈsentɪmənt
velocity vəˈlɒsəti  vəˈlɑːsəti
recur rɪˈkɜː(r)  rɪˈkɜːr
withhold wɪðˈhəʊld  wɪðˈhoʊld
concise kənˈsaɪs  kənˈsaɪs
sturdy ˈstɜːdi  ˈstɜːrdi
groan ɡrəʊn  ɡroʊn
