conspire kənˈspaɪə(r)  kənˈspaɪər
paradigm ˈpærədaɪm  ˈpærədaɪm
cooperative kəʊˈɒpərətɪv  koʊˈɑːpərətɪv
chapel ˈtʃæp(ə)l  ˈtʃæp(ə)l
arena əˈriːnə  əˈriːnə
racket ˈrækɪt  ˈrækɪt
attendant əˈtendənt  əˈtendənt
genre ˈʒɒnrə  ˈʒɑːnrə
proficiency prəˈfɪʃ(ə)nsi  prəˈfɪʃ(ə)nsi
rigid ˈrɪdʒɪd  ˈrɪdʒɪd
delicacy ˈdelɪkəsi  ˈdelɪkəsi
entrust ɪnˈtrʌst  ɪnˈtrʌst
cardinal ˈkɑːdɪn(ə)l  ˈkɑːrdɪnl
practicable ˈpræktɪkəbl  ˈpræktɪkəbl
supplementary ˌsʌplɪˈmentri  ˌsʌplɪˈmentri
commentary ˈkɒmənt(ə)ri  ˈkɑːmənteri
linear ˈlɪniə(r)  ˈlɪniər
hike haɪk  haɪk
closet ˈklɒzɪt  ˈklɑːzɪt
assassinate əˈsæsɪneɪt  əˈsæsɪneɪt
tertiary ˈtɜːʃəri  ˈtɜːrʃieriˌˈtɜːrʃəri
contemplate ˈkɒntəmpleɪt  ˈkɑːntəmpleɪt
escalate ˈeskəleɪt  ˈeskəleɪt
junction ˈdʒʌŋkʃ(ə)n  ˈdʒʌŋkʃ(ə)n
chancellor ˈtʃɑːnsələ(r)  ˈtʃænslər
avert əˈvɜːt  əˈvɜːrt
terrace ˈterəs  ˈterəs
peel piːl  piːl
pedestrian pəˈdestriən  pəˈdestriən
confidential ˌkɒnfɪˈdenʃ(ə)l  ˌkɑːnfɪˈdenʃ(ə)l
tract trækt  trækt
addict ˈædɪkt  ˈædɪkt
chord kɔːd kɔːrd
