deter dɪˈtɜː(r)  dɪˈtɜːr
consolidate kənˈsɒlɪdeɪt  kənˈsɑːlɪdeɪt
descent dɪˈsent dɪˈsent
instantaneous ˌɪnstənˈteɪniəs  ˌɪnstənˈteɪniəs
lure lʊə(r)  lʊr
bass beɪs  beɪs
eradicate ɪˈrædɪkeɪt  ɪˈrædɪkeɪt
compartment kəmˈpɑːtmənt  kəmˈpɑːrtmənt
rhetoric ˈretərɪk  ˈretərɪk
scrape skreɪp  skreɪp
evacuate ɪˈvækjueɪt  ɪˈvækjueɪt
wedge wedʒ  wedʒ
generalize ˈdʒenrəlaɪz  ˈdʒen(ə)rəlaɪz
mortal ˈmɔːt(ə)l  ˈmɔːrt(ə)l
rehearse rɪˈhɜːs  rɪˈhɜːrs
prototype ˈprəʊtətaɪp  ˈproʊtətaɪp
salvage ˈsælvɪdʒ  ˈsælvɪdʒ
innumerable ɪˈnjuːmərəb(ə)l  ɪˈnuːmərəb(ə)l
intuition ˌɪntjuˈɪʃ(ə)n  ˌɪntuˈɪʃ(ə)n
potent ˈpəʊt(ə)nt  ˈpoʊt(ə)nt
offset ˈɒfset  ˈɔːfset
tickle ˈtɪk(ə)l  ˈtɪk(ə)l
prerequisite ˌpriːˈrekwəzɪt  ˌpriːˈrekwəzɪt
carton ˈkɑːtn  ˈkɑːrtn
sensation senˈseɪʃ(ə)n  senˈseɪʃ(ə)n
chronicle ˈkrɒnɪk(ə)l  ˈkrɑːnɪk(ə)l
deplore dɪˈplɔː(r)  dɪˈplɔːr
repress rɪˈpres rɪˈpres
imprison ɪmˈprɪzn  ɪmˈprɪzn
dub dʌb  dʌb
benevolent bəˈnevələnt  bəˈnevələnt
relish ˈrelɪʃ  ˈrelɪʃ
vicious ˈvɪʃəs  ˈvɪʃəs
