muddy ˈmʌdi  ˈmʌdi
acute əˈkjuːt  əˈkjuːt
rot rɒt  rɑːt
brutal ˈbruːt(ə)l  ˈbruːt(ə)l
gloomy ˈɡluːmi  ˈɡluːmi
exclaim ɪkˈskleɪm  ɪkˈskleɪm
console kənˈsəʊl  kənˈsoʊl
reconcile ˈrekənsaɪl  ˈrekənsaɪl
blunt blʌnt　 blʌnt
foe fəʊ  foʊ
alliance əˈlaɪəns  əˈlaɪəns
ignite ɪɡˈnaɪt  ɪɡˈnaɪt
suffice səˈfaɪs  səˈfaɪs
lucrative ˈluːkrətɪv  ˈluːkrətɪv
warranty ˈwɒrənti  ˈwɔːrənti
invariably ɪnˈveəriəbli  ɪnˈveriəbli
forfeit ˈfɔːfɪt  ˈfɔːrfɪt
exemplify ɪɡˈzemplɪfaɪ  ɪɡˈzemplɪfaɪ
smuggle ˈsmʌɡ(ə)l  ˈsmʌɡ(ə)l
hospitality ˌhɒspɪˈtæləti  ˌhɑːspɪˈtæləti
irrespective ˌɪrɪˈspektɪv  ˌɪrɪˈspektɪv
humane hjuːˈmeɪn  hjuːˈmeɪn
cosmetic kɒzˈmetɪk  kɑːzˈmetɪk
ponder ˈpɒndə(r)  ˈpɑːndər
indefinite ɪnˈdefɪnət  ɪnˈdefɪnət
forthcoming ˌfɔːθˈkʌmɪŋ  ˌfɔːrθˈkʌmɪŋ
enact ɪˈnækt  ɪˈnækt
intent ɪnˈtent  ɪnˈtent
superficial ˌsuːpəˈfɪʃ(ə)l  ˌsuːpərˈfɪʃ(ə)l
dilute daɪˈluːt  daɪˈluːt
affiliate əˈfɪlieɪt  əˈfɪlieɪt
credentials krəˈdenʃ(ə)lz  krəˈdenʃ(ə)lz
wrinkle ˈrɪŋk(ə)l  ˈrɪŋk(ə)l
