supervise ˈsuːpəvaɪz  ˈsuːpərvaɪz
valve vælv  vælv
juvenile ˈdʒuːvənaɪl  ˈdʒuːvən(ə)l; ˈdʒuːvənaɪl
permissible pəˈmɪsəb(ə)l  pərˈmɪsəb(ə)l
obscure əbˈskjʊə(r)  əbˈskjʊr
caravan ˈkærəvæn  ˈkærəvæn
strangle ˈstræŋɡl  ˈstræŋɡl
commend kəˈmend  kəˈmend
barren ˈbærən  ˈbærən
traverse trəˈvɜːs  trəˈvɜːrs
slaughter ˈslɔːtə(r)  ˈslɔːtər
gigantic dʒaɪˈɡæntɪk  dʒaɪˈɡæntɪk
allot əˈlɒt  əˈlɑːt
sodium ˈsəʊdiəm  ˈsoʊdiəm
reciprocal rɪˈsɪprək(ə)l  rɪˈsɪprək(ə)l
symposium sɪmˈpəʊziəm  sɪmˈpoʊziəm
versatile ˈvɜːsətaɪl  ˈvɜːrsət(ə)l
buffalo ˈbʌfələʊ  ˈbʌfəloʊ
throne θrəʊn  θroʊn
constrain kənˈstreɪn  kənˈstreɪn
stifle ˈstaɪf(ə)l  ˈstaɪf(ə)l
outward ˈaʊtwəd  ˈaʊtwərd
stack stæk  stæk
renaissance rɪˈneɪs(ə)ns  ˈrenəsɑːns
execute ˈeksɪkjuːt  ˈeksɪkjuːt
gland ɡlænd  ɡlænd
terminate ˈtɜːmɪneɪt  ˈtɜːrmɪneɪt
enlist ɪnˈlɪst  ɪnˈlɪst
magnitude ˈmæɡnɪtjuːd  ˈmæɡnɪtuːd
rig rɪɡ  rɪɡ
rebellion rɪˈbeljən  rɪˈbeljən
recede rɪˈsiːd  rɪˈsiːd
tornado tɔːˈneɪdəʊ  tɔːrˈneɪdoʊ
