wholesale ˈhəʊlseɪl  ˈhoʊlseɪl
obedient əˈbiːdiənt  əˈbiːdiənt
rash ræʃ  ræʃ
arrogant ˈærəɡənt  ˈærəɡənt
trauma ˈtrɔːmə  ˈtrɔːmə
naive naɪˈiːv  naɪˈiːv
accessory əkˈsesəri  əkˈsesəri
complexion kəmˈplekʃ(ə)n  kəmˈplekʃ(ə)n
salvation sælˈveɪʃ(ə)n  sælˈveɪʃ(ə)n
overhaul ˌəʊvəˈhɔːl  ˌoʊvərˈhɔːl
worthwhile ˌwɜːθˈwaɪl  ˌwɜːrθˈwaɪl
alternate ɔːlˈtɜːnət  ˈɔːltərnət
inhabitant ɪnˈhæbɪtənt  ɪnˈhæbɪtənt
dispense dɪˈspens  dɪˈspens
perpetual pəˈpetʃuəl  pərˈpetʃuəl
maritime ˈmærɪtaɪm  ˈmærɪtaɪm
assimilate əˈsɪməleɪt  əˈsɪməleɪt
detective dɪˈtektɪv  dɪˈtektɪv
negligible ˈneɡlɪdʒəb(ə)l  ˈneɡlɪdʒəb(ə)l
assortment əˈsɔːtmənt  əˈsɔːrtmənt
detach dɪˈtætʃ  dɪˈtætʃ
tub tʌb  tʌb
akin əˈkɪn  əˈkɪn
energetic ˌenəˈdʒetɪk  ˌenərˈdʒetɪk
advent ˈædvent  ˈædvent
outrage ˈaʊtreɪdʒ  ˈaʊtreɪdʒ
literal ˈlɪtərəl  ˈlɪtərəl
precede prɪˈsiːd  prɪˈsiːd
galaxy ˈɡæləksi  ˈɡæləksi
superiority suːˌpɪəriˈɒrəti  suːˌpɪriˈɔːrəti
impetus ˈɪmpɪtəs  ˈɪmpɪtəs
mediate ˈmiːdieɪt  ˈmiːdieɪt
reservation ˌrezəˈveɪʃn  ˌrezərˈveɪʃ(ə)n
