subjective səbˈdʒektɪv  səbˈdʒektɪv
mutter ˈmʌtə(r)  ˈmʌtər
novelty ˈnɒv(ə)lti  ˈnɑːv(ə)lti
resent rɪˈzent  rɪˈzent
tangle ˈtæŋɡ(ə)l  ˈtæŋɡ(ə)l
prop prɒp  prɑːp
canvas ˈkænvəs  ˈkænvəs
sanitation ˌsænɪˈteɪʃ(ə)n  ˌsænɪˈteɪʃ(ə)n
pendulum ˈpendʒələm  ˈpendʒələm
shipment ˈʃɪpmənt  ˈʃɪpmənt
savage ˈsævɪdʒ  ˈsævɪdʒ
culminate ˈkʌlmɪneɪt  ˈkʌlmɪneɪt
lottery ˈlɒtəri  ˈlɑːtəri
ultra ˈʌltrə  ˈʌltrə
controversial ˌkɒntrəˈvɜːʃ(ə)l  ˌkɑːntrəˈvɜːrʃ(ə)l
plateau ˈplætəʊ  plæˈtoʊ
quartz kwɔːts  kwɔːrts
suppress səˈpres  səˈpres
mosquito məˈskiːtəʊ  məˈskiːtoʊ
fury ˈfjʊəri  ˈfjʊri
pending ˈpendɪŋ  ˈpendɪŋ
swap swɒp  swɑːp
denounce dɪˈnaʊns  dɪˈnaʊns
hockey ˈhɒki  ˈhɑːki
indebted ɪnˈdetɪd  ɪnˈdetɪd
connotation ˌkɒnəˈteɪʃ(ə)n  ˌkɑːnəˈteɪʃ(ə)n
metaphor ˈmetəfə(r)  ˈmetəfər
tribute ˈtrɪbjuːt  ˈtrɪbjuːt
noteworthy ˈnəʊtwɜːði  ˈnoʊtwɜːrði
preview ˈpriːvjuː  ˈpriːvjuː
amend əˈmend  əˈmend
notwithstanding ˌnɒtwɪθˈstændɪŋ  ˌnɑːtwɪθˈstændɪŋ
extravagant ɪkˈstrævəɡənt  ɪkˈstrævəɡənt
