costume ˈkɒstjuːm  ˈkɑːstuːm
fitting ˈfɪtɪŋ  ˈfɪtɪŋ
enroll ɪnˈrəʊl  ɪnˈroʊl
vegetation ˌvedʒəˈteɪʃ(ə)n  ˌvedʒəˈteɪʃn
disposition ˌdɪspəˈzɪʃn  ˌdɪspəˈzɪʃ(ə)n
interrupt ˌɪntəˈrʌpt  ˌɪntəˈrʌpt
stumble ˈstʌmb(ə)l  ˈstʌmb(ə)l
denote dɪˈnəʊt  dɪˈnoʊt
premise ˈpremɪs  ˈpremɪs
amass əˈmæs  əˈmæs
intricate ˈɪntrɪkət  ˈɪntrɪkət
detriment ˈdetrɪmənt  ˈdetrɪmənt
inject ɪnˈdʒekt  ɪnˈdʒekt
intervene ˌɪntəˈviːn  ˌɪntərˈviːn
airborne ˈeəbɔːn  ˈerbɔːrn
prone prəʊn  proʊn
tact tækt  tækt
deviate ˈdiːvieɪt  ˈdiːvieɪt
execution ˌeksɪˈkjuːʃ(ə)n  ˌeksɪˈkjuːʃ(ə)n
authoritative ɔːˈθɒrətətɪv  əˈθɔːrəteɪtɪv
plead pliːd  pliːd
reign reɪn  reɪn
havoc ˈhævək  ˈhævək
inhabit ɪnˈhæbɪt  ɪnˈhæbɪt
fusion ˈfjuːʒ(ə)n  ˈfjuːʒ(ə)n
haunt hɔːnt  hɔːnt
reunion ˌriːˈjuːniən  ˌriːˈjuːniən
cemetery ˈsemətri  ˈseməteri
reckless ˈrekləs  ˈrekləs
regime reɪˈʒiːm  reɪˈʒiːm
tread tred  tred
cape keɪp  keɪp
credible ˈkredəb(ə)l  ˈkredəb(ə)l
