bibliography ˌbɪbliˈɒɡrəfi  ˌbɪbliˈɑːɡrəfi
ascribe əˈskraɪb  əˈskraɪb
oath əʊθ  oʊθ
correspondence ˌkɒrəˈspɒndəns  ˌkɔːrəˈspɑːndəns
probability ˌprɒbəˈbɪləti  ˌprɑːbəˈbɪləti
buzz bʌz  bʌz
fabricate ˈfæbrɪkeɪt  ˈfæbrɪkeɪt
successor səkˈsesə(r)  səkˈsesər
trophy ˈtrəʊfi  ˈtroʊfi
levy ˈlevi  ˈlevi
alloy ˈælɔɪ  ˈælɔɪ
inborn ˌɪnˈbɔːn  ˌɪnˈbɔːrn
malignant məˈlɪɡnənt  məˈlɪɡnənt
lavish ˈlævɪʃ  ˈlævɪʃ
animate ˈænɪmeɪt  ˈænɪmeɪt
progressive prəˈɡresɪv  prəˈɡresɪv
numerical njuːˈmerɪk(ə)l  nuːˈmerɪk(ə)l
immerse ɪˈmɜːs  ɪˈmɜːrs
foretell fɔːˈtel  fɔːrˈtel
trumpet ˈtrʌmpɪt  ˈtrʌmpɪt
illusion ɪˈluːʒ(ə)n  ɪˈluːʒ(ə)n
hum hʌm  hʌm
provocative prəˈvɒkətɪv  prəˈvɑːkətɪv
locomotive ˌləʊkəˈməʊtɪv  ˌloʊkəˈmoʊtɪv
enforce ɪnˈfɔːs  ɪnˈfɔːrs
stagger ˈstæɡə(r)  ˈstæɡər
rust rʌst  rʌst
shatter ˈʃætə(r)  ˈʃætər
invert ɪnˈvɜːt  ɪnˈvɜːrt
magnificent mæɡˈnɪfɪs(ə)nt  mæɡˈnɪfɪs(ə)nt
summon ˈsʌmən  ˈsʌmən
psychiatry saɪˈkaɪətri  saɪˈkaɪətri
yearn jɜːn  jɜːrn
