charge tʃɑːdʒ  tʃɑːrdʒ
refreshment rɪˈfreʃmənt  rɪˈfreʃmənt
gloom ɡluːm  ɡluːm
expenditure ɪkˈspendɪtʃə(r)  ɪkˈspendɪtʃər
fringe frɪndʒ  frɪndʒ
incumbent ɪnˈkʌmbənt  ɪnˈkʌmbənt
streak striːk  striːk
nominal ˈnɒmɪn(ə)l  ˈnɑːmɪn(ə)l
cuisine kwɪˈziːn  kwɪˈziːn
merchandise ˈmɜːtʃəndaɪs  ˈmɜːrtʃəndaɪs
sovereign ˈsɒvrɪn  ˈsɑːvrɪn
customary ˈkʌstəməri  ˈkʌstəmeri
drastic ˈdræstɪk  ˈdræstɪk
classification ˌklæsɪfɪˈkeɪʃ(ə)n  ˌklæsɪfɪˈkeɪʃ(ə)n
malpractice ˌmælˈpræktɪs  ˌmælˈpræktɪs
subscribe səbˈskraɪb  səbˈskraɪb
disregard ˌdɪsrɪˈɡɑːd  ˌdɪsrɪˈɡɑːrd
imitate ˈɪmɪteɪt  ˈɪmɪteɪt
counteract ˌkaʊntərˈækt  ˌkaʊntərˈækt
spectrum ˈspektrəm  ˈspektrəm
royalty ˈrɔɪəlti  ˈrɔɪəlti
landmark ˈlændmɑːk  ˈlændmɑːrk
aide eɪd  eɪd
foresee fɔːˈsiː  fɔːrˈsiː
spectacle ˈspektək(ə)l  ˈspektək(ə)l
nickname ˈnɪkneɪm  ˈnɪkneɪm
heap hiːp  hiːp
bruise bruːz  bruːz
divert daɪˈvɜːt  daɪˈvɜːrt
poke pəʊk  poʊk
exempt ɪɡˈzempt  ɪɡˈzempt
ventilate ˈventɪleɪt  ˈventɪleɪt
parole pəˈrəʊl  pəˈroʊl
