apt æpt  æpt
reassure ˌriːəˈʃʊə(r)  ˌriːəˈʃʊr
notable ˈnəʊtəb(ə)l  ˈnoʊtəb(ə)l
showcase ˈʃəʊkeɪs  ˈʃoʊkeɪs
fragile ˈfrædʒaɪl  ˈfrædʒ(ə)l
clearing ˈklɪərɪŋ  ˈklɪrɪŋ
expend ɪkˈspend  ɪkˈspend
command kəˈmɑːnd  kəˈmænd
rap ræp  ræp
gauge ɡeɪdʒ  ɡeɪdʒ
splash splæʃ  splæʃ
equate ɪˈkweɪt  ɪˈkweɪt
inland ˈɪnlənd; ɪnˈlænd  ˈɪnlənd
thrift θrɪft  θrɪft
smash smæʃ  smæʃ
detergent dɪˈtɜːdʒənt  dɪˈtɜːrdʒənt
ceramic səˈræmɪk  səˈræmɪk
flatter ˈflætə(r)  ˈflætər
rip rɪp  rɪp
breach briːtʃ  briːtʃ
besiege bɪˈsiːdʒ  bɪˈsiːdʒ
eccentric ɪkˈsentrɪk  ɪkˈsentrɪk
stalk stɔːk  stɔːk
guardian ˈɡɑːdiən  ˈɡɑːrdiən
counterfeit ˈkaʊntəfɪt  ˈkaʊntərfɪt
bud bʌd  bʌd
homogeneous ˌhɒməˈdʒiːniəs  ˌhoʊməˈdʒiːniəs
optimum ˈɒptɪməm  ˈɑːptɪməm
repertoire ˈrepətwɑː(r)  ˈrepərtwɑːr
devour dɪˈvaʊə(r)  dɪˈvaʊər
agony ˈæɡəni  ˈæɡəni
eject ɪˈdʒekt  ɪˈdʒekt
inclusive ɪnˈkluːsɪv  ɪnˈkluːsɪv
