augment ɔːɡˈment  ɔːɡˈment
safeguard ˈseɪfɡɑːd  ˈseɪfɡɑːrd
temporal ˈtempərəl  ˈtempərəl
tilt tɪlt  tɪlt
vent vent  vent
tease tiːz  tiːz
physiological ˌfɪziəˈlɒdʒɪk(ə)l  ˌfɪziəˈlɑːdʒɪk(ə)l
seduce sɪˈdjuːs  sɪˈduːs
discrepancy dɪˈskrepənsi  dɪˈskrepənsi
porcelain ˈpɔːsəlɪn  ˈpɔːrsəlɪn
cluster ˈklʌstə(r)  ˈklʌstər
restraint rɪˈstreɪnt  rɪˈstreɪnt
solicit səˈlɪsɪt  səˈlɪsɪt
dart dɑːt  dɑːrt
clerk klɑːk  klɜːrk
trickle ˈtrɪk(ə)l  ˈtrɪkl
quarterly ˈkwɔːtəli  ˈkwɔːrtərli
icon ˈaɪkɒn  ˈaɪkɑːn
benign bɪˈnaɪn  bɪˈnaɪn
dwarf dwɔːf  dwɔːrf
perish ˈperɪʃ  ˈperɪʃ
mandate ˈmændeɪt  ˈmændeɪt
brisk brɪsk  brɪsk
comic ˈkɒmɪk  ˈkɑːmɪk
shred ʃred  ʃred
futile ˈfjuːtaɪl  ˈfjuːt(ə)l
canoe kəˈnuː  kəˈnuː
barge bɑːdʒ  bɑːrdʒ
salmon ˈsæmən  ˈsæmən
objection əbˈdʒekʃ(ə)n  əbˈdʒekʃ(ə)n
revolt rɪˈvəʊlt  rɪˈvoʊlt
dimension daɪˈmenʃ(ə)n  daɪˈmenʃn; dɪˈmenʃn
sniff snɪf  snɪf
