overhead ˌəʊvəˈhed  ˌoʊvərˈhed
locality ləʊˈkæləti  loʊˈkæləti
hitherto ˌhɪðəˈtuː  ˌhɪðərˈtuː
reshuffle ˈriːʃʌfl  ˈriːʃʌfl
foul faʊl  faʊl
shrub ʃrʌb  ʃrʌb
erosion ɪˈrəʊʒ(ə)n  ɪˈroʊʒ(ə)n
subsequent ˈsʌbsɪkwənt  ˈsʌbsɪkwənt
jog dʒɒɡ  dʒɑːɡ
shepherd ˈʃepəd  ˈʃepərd
confer kənˈfɜː(r)  kənˈfɜːr
pessimistic ˌpesɪˈmɪstɪk  ˌpesɪˈmɪstɪk
expel ɪkˈspel  ɪkˈspel
complacent kəmˈpleɪs(ə)nt  kəmˈpleɪs(ə)nt
unveil ˌʌnˈveɪl  ˌʌnˈveɪl
query ˈkwɪəri  ˈkwɪri
trek trek  trek
whereby weəˈbaɪ  werˈbaɪ
dressing ˈdresɪŋ  ˈdresɪŋ
wholesome ˈhəʊlsəm  ˈhoʊlsəm
infectious ɪnˈfekʃəs  ɪnˈfekʃəs
aesthetic iːsˈθetɪk  esˈθetɪk
evoke ɪˈvəʊk  ɪˈvoʊk
worthy ˈwɜːði  ˈwɜːrði
acclaim əˈkleɪm  əˈkleɪm
pharmacy ˈfɑːməsi  ˈfɑːrməsi
implicit ɪmˈplɪsɪt  ɪmˈplɪsɪt
compile kəmˈpaɪl  kəmˈpaɪl
petition pəˈtɪʃn  pəˈtɪʃ(ə)n
emulate ˈemjuleɪt  ˈemjuleɪt
marshal ˈmɑːʃ(ə)l  ˈmɑːrʃ(ə)l
configuration kənˌfɪɡəˈreɪʃ(ə)n  kənˌfɪɡjəˈreɪʃ(ə)n
vicinity vəˈsɪnəti  vəˈsɪnəti
plaster ˈplɑːstə(r)  ˈplæstər
rape reɪp  reɪp
