conservation ˌkɒnsəˈveɪʃ(ə)n  ˌkɑːnsərˈveɪʃ(ə)n
livestock ˈlaɪvstɒk  ˈlaɪvstɑːk
enormous ɪˈnɔːməs  ɪˈnɔːrməs
volume ˈvɒljuːm  ˈvɑːljəm
critic ˈkrɪtɪk  ˈkrɪtɪk
recall rɪˈkɔːl  rɪˈkɔːl
virgin ˈvɜːdʒɪn  ˈvɜːrdʒɪn
polar ˈpəʊlə(r) ˈpoʊlər
item ˈaɪtəm  ˈaɪtəm
insight ˈɪnsaɪt  ˈɪnsaɪt
exaggerate ɪɡˈzædʒəreɪt  ɪɡˈzædʒəreɪt
attribute əˈtrɪbjuːt  əˈtrɪbjuːt
correlate ˈkɒrəleɪt; ˈkɒrələt  ˈkɔːrəleɪt; ˈkɔːrələt
severe sɪˈvɪə(r)  sɪˈvɪr
obsess əbˈses  əbˈses
supplement ˈsʌplɪmənt  ˈsʌplɪmənt
circulation ˌsɜːkjəˈleɪʃ(ə)n  ˌsɜːrkjəˈleɪʃ(ə)n
premium ˈpriːmiəm  ˈpriːmiəm
norm nɔːm  nɔːrm
comprehensive ˌkɒmprɪˈhensɪv  ˌkɑːmprɪˈhensɪv
numerous ˈnjuːmərəs  ˈnuːmərəs
depict dɪˈpɪkt  dɪˈpɪkt
distinct dɪˈstɪŋkt  dɪˈstɪŋkt
leisure ˈleʒə(r)  ˈliːʒər
unity ˈjuːnəti  ˈjuːnəti
stray streɪ  streɪ
intellectual ˌɪntəˈlektʃuəl ˌɪntəˈlektʃuəl
equality iˈkwɒləti  iˈkwɑːləti
extract ˈekstrækt; ɪkˈstrækt  ˈekstrækt; ɪkˈstrækt
emphasis ˈemfəsɪs  ˈemfəsɪs
eliminate ɪˈlɪmɪneɪt  ɪˈlɪmɪneɪt
deplete dɪˈpliːt dɪˈpliːt
notion ˈnəʊʃ(ə)n  ˈnoʊʃ(ə)n
racial ˈreɪʃ(ə)l  ˈreɪʃ(ə)l
fundamental ˌfʌndəˈment(ə)l  ˌfʌndəˈment(ə)l
profitable ˈprɒfɪtəb(ə)l  ˈprɑːfɪtəb(ə)l
evolution ˌiːvəˈluːʃ(ə)n  ˌevəˈluːʃ(ə)n
exploit ɪkˈsplɔɪt  ɪkˈsplɔɪt
criticism ˈkrɪtɪsɪzəm  ˈkrɪtɪsɪzəm
debris ˈdebriː  dəˈbriː
