bypass ˈbaɪpɑːs  ˈbaɪpæs
rating ˈreɪtɪŋ  ˈreɪtɪŋ
practitioner prækˈtɪʃənə(r)  prækˈtɪʃənər
specification ˌspesɪfɪˈkeɪʃ(ə)n  ˌspesɪfɪˈkeɪʃ(ə)n
submarine ˌsʌbməˈriːn  ˌsʌbməˈriːn; ˈsʌbməriːn
strain streɪn  streɪn
primitive ˈprɪmətɪv  ˈprɪmətɪv
mow məʊ  moʊ
unprecedented ʌnˈpresɪdentɪd  ʌnˈpresɪdentɪd
prestige preˈstiːʒ  preˈstiːʒ
acceptance əkˈseptəns  əkˈseptəns
stun stʌn stʌn
compassion kəmˈpæʃ(ə)n  kəmˈpæʃ(ə)n
phase feɪz  feɪz
kit kɪt  kɪt
signify ˈsɪɡnɪfaɪ  ˈsɪɡnɪfaɪ
elementary ˌelɪˈmentri  ˌelɪˈmentri
dazzle ˈdæz(ə)l  ˈdæz(ə)l
likelihood ˈlaɪklihʊd  ˈlaɪklihʊd
quest kwest  kwest
evade ɪˈveɪd  ɪˈveɪd
provision prəˈvɪʒ(ə)n  prəˈvɪʒ(ə)n
milestone ˈmaɪlstəʊn  ˈmaɪlstoʊn
contest ˈkɒntest ˈkɑːntest
endure ɪnˈdjʊə(r)  ɪnˈdʊr
feasible ˈfiːzəb(ə)l  ˈfiːzəb(ə)l
insulate ˈɪnsjuleɪt  ˈɪnsəleɪt
entail ɪnˈteɪl  ɪnˈteɪl
disgust dɪsˈɡʌst  dɪsˈɡʌst
eagle ˈiːɡ(ə)l  ˈiːɡ(ə)l
recruit rɪˈkruːt  rɪˈkruːt
ingenious ɪnˈdʒiːniəs  ɪnˈdʒiːniəs
owl aʊl  aʊl
