pasture ˈpɑːstʃə(r)  ˈpæstʃər
historian hɪˈstɔːriən  hɪˈstɔːriən
fraction ˈfrækʃn  ˈfrækʃ(ə)n
morality məˈræləti  məˈræləti
deficiency dɪˈfɪʃ(ə)nsi  dɪˈfɪʃ(ə)nsi
slum slʌm  slʌm
liable ˈlaɪəb(ə)l  ˈlaɪəb(ə)l
incidentally ˌɪnsɪˈdent(ə)li  ˌɪnsɪˈdent(ə)li
privilege ˈprɪvəlɪdʒ  ˈprɪvəlɪdʒ
impair ɪmˈpeə(r)  ɪmˈper
epic ˈepɪk ˈepɪk
consultant kənˈsʌltənt  kənˈsʌltənt
duplicate ˈdjuːplɪkeɪt  ˈduːplɪkeɪt
cater ˈkeɪtə(r)  ˈkeɪtər
refresh rɪˈfreʃ  rɪˈfreʃ
extensive ɪkˈstensɪv  ɪkˈstensɪv
justification ˌdʒʌstɪfɪˈkeɪʃ(ə)n  ˌdʒʌstɪfɪˈkeɪʃ(ə)n
stabilize ˈsteɪbəlaɪz  ˈsteɪbəlaɪz
mature məˈtʃʊə(r)  məˈtʃʊr
olive ˈɒlɪv  ˈɑːlɪv
testify ˈtestɪfaɪ  ˈtestɪfaɪ
turnover ˈtɜːnəʊvə(r)  ˈtɜːrnoʊvər
clip klɪp  klɪp
reference ˈrefrəns  ˈrefrəns
vocational vəʊˈkeɪʃən(ə)l  voʊˈkeɪʃən(ə)l
terrify ˈterɪfaɪ  ˈterɪfaɪ
depot ˈdepəʊ  ˈdiːpoʊ
marginal ˈmɑːdʒɪn(ə)l  ˈmɑːrdʒɪn(ə)l
format ˈfɔːmæt  ˈfɔːrmæt
slack slæk  slæk
violent ˈvaɪələnt  ˈvaɪələnt
pant pænt  pænt
viable ˈvaɪəb(ə)l  ˈvaɪəb(ə)l
