supply səˈplaɪ  səˈplaɪ
stir stɜː(r)  stɜːr
offensive əˈfensɪv  əˈfensɪv
pact pækt  pækt
vulgar ˈvʌlɡə(r)  ˈvʌlɡər
stern stɜːn  stɜːrn
errand ˈerənd  ˈerənd
desolate ˈdesələt  ˈdesələt
glitter ˈɡlɪtə(r)  ˈɡlɪtər
indignant ɪnˈdɪɡnənt  ɪnˈdɪɡnənt
refusal rɪˈfjuːz(ə)l  rɪˈfjuːz(ə)l
linguistic lɪŋˈɡwɪstɪk  lɪŋˈɡwɪstɪk
predominate prɪˈdɒmɪneɪt  prɪˈdɑːmɪneɪt
enclosure ɪnˈkləʊʒə(r)  ɪnˈkloʊʒər
sprinkle ˈsprɪŋk(ə)l  ˈsprɪŋk(ə)l
scorn skɔːn  skɔːrn
tack tæk  tæk
panorama ˌpænəˈrɑːmə  ˌpænəˈræmə
limelight ˈlaɪmlaɪt  ˈlaɪmlaɪt
judiciary dʒuˈdɪʃəri  dʒuˈdɪʃieri
bloc blɒk  blɑːk
tariff ˈtærɪf  ˈtærɪf
confide kənˈfaɪd  kənˈfaɪd
idiot ˈɪdiət  ˈɪdiət
amiable ˈeɪmiəb(ə)l  ˈeɪmiəb(ə)l
glossary ˈɡlɒsəri  ˈɡlɑːsəri
deduct dɪˈdʌkt  dɪˈdʌkt
coexist ˌkəʊɪɡˈzɪst  ˌkoʊɪɡˈzɪst
crate kreɪt  kreɪt
dole dəʊl  doʊl
asylum əˈsaɪləm  əˈsaɪləm
slippery ˈslɪpəri  ˈslɪpəri
zinc zɪŋk  zɪŋk
