greed               名 贪婪贪食 对某物，尤指财富、权力或食物的强烈而自私的欲望
protocol            名 (官方外交)礼仪礼节 管理国家事务或外交场合的官方程序或规则体系 引申到(任何地方的)礼仪礼节 在任何团体、组织或场合中公认的或确立的程序或行为准则 条约草案 外交文件的初稿，尤指由各方在会议上同意并签署的条约的条款 引申到条约修订案 对条约或公约的修正或补充 (科学实验)官方记录 科学实验观察的正式或官方记录 引申到科学实验计划 进行科学实验或医学治疗的程序 (计算机数据传递)协议 管理设备间数据交换或传输的一组规则
intercourse         名 交流交易 个人或团体之间的交流或交易 性交 sexual intercourse简写
superstition        名 迷信 对超自然现象的过分轻信的信仰和崇敬 引申到迷信观念迷信行为 对超自然影响的广泛持有但不合理的信仰，尤指会带来好运或厄运的信仰，或基于这种信仰的实践 更加具体一点落到实处
giggle              动 吃吃傻笑 因娱乐、紧张或尴尬而以愚蠢的方式反复地轻笑 名 吃吃傻笑 a light, silly laugh 引申到咯咯的笑 continuous uncontrollable giggling 用法the giggles 或者有趣的人或物;一个玩笑笑话joke
pope                名 教皇 罗马主教，罗马天主教会的领袖 用法the Pope
messenger           名 送信人邮递员 送信的人或受雇送信的人 动 用messenger送信包裹 send (a document or package) by messenger
unilateral          形 单方的单边的 (指行动或决定)由一个人、团体或国家在未经他人同意的情况下进行的或只影响到一个人、团体或国家的 (身体)单侧的 只与器官、身体或其他结构的一侧有关或影响的 意似bilateral multilateral
wharf               名 码头 quayside平坦区域，船只可停泊在此装卸货物 意似dock 辨析“wharf” 和 “quay” 通常指 “装卸货物或供乘客上下船使用的大型码头”，“wharf” 和 “quay” 都有 “码头” 的意思。船舶会在 “wharf” 或者 “quay” 边上靠岸，两个词所指的 “码头” 都可以用来装卸货物或供乘客上下船。这两个词所指的 “码头” 通常占地面积很大。名词 “wharf” 所指的 “码头” 可能包含多个 “quays”，这类大型码头的空间更大，因此装得下更多艘船。
antenna             名 触角 昆虫、甲壳类动物和其他节肢动物头上一对细长的感觉附属物之一 引申到感觉直觉 本能地发现和解释细微迹象的能力 天线 用于发送或接收无线电或电视信号的杆、线或其它装置;一个aeria
allude              动 间接提及暗指影射 间接地暗示或引起注意;暗示 引申到略加提及 提及而不详细讨论 或者(艺术家品)使人想起(从前的作品或风格) (指艺术家或艺术作品)回忆起(早期的作品或风格)，使人联想到与它的关系 形似allure
oar                 名 桨 扁扁的一根有平刃的杆子，用于在水中划船或驾驶船 引申到桨手 一个划手;一个桨手 动 划桨划 propel with or as if with oars; row 同音ore awe
knob                名 球形把手旋钮小块(黄油) 圆形的团块或球，尤指在某物的末端或表面 具体引申到球形把手旋钮小块(黄油) 动 男人和某人性交 (of a man) have sex with (someone) 意似intercourse 形似knock
distill             动 用蒸馏法提取蒸馏 通过加热使其蒸发，然后冷却并冷凝蒸汽并收集所得液体 具体如通过蒸馏制造(烈酒或香精)用溶剂加热提取(某物)的精华通过加热除去混合物中的(挥发性成分) 提炼吸取精华 提炼出…的本质意义或最重要的方面 美式写法distill竟然多了字母 英式写法是distil
flutter             动 拍动颤动 (指鸟或其他有翅膀的生物)通过快速轻拍翅膀不稳定地飞行或盘旋 引申到振翅而飞 (指鸟或其他有翅膀的动物)迅速而轻快地扇动(翅膀) 摇动飘动 轻轻地、不规则地或颤抖地移动 形容物体如旗子 急赶奔走 (指人)不安地或不确定地移动 怦怦乱跳不规则地跳动 (指脉搏或心跳)无力或不规则地跳动 名 flutter的行为 意似flap
transistor          名 晶体管三极管 有三个连接的半导体器件，除整流外还能放大 引申到晶体管收音机 一种使用晶体管而不是电子管电路的便携式收音机，也作transistor radio
bull                名 公牛 未阉割的雄性牛 意似buffalo
qualitative         形 质量的性质的 与某物的quality而不是其数量有关 和quantitative对比
turtle              名 海龟 一种大型海洋爬行动物，有骨或革质壳和鳍状肢，每年到沙滩上岸产卵 也作sea turtle 引申到海龟肉 海龟的肉，尤指绿海龟，主要用于做汤 (计算机)龟标 计算机图形系统中的一种方向光标，可以被指示在屏幕上移动 不清楚是哪个
stammer             动 结结巴巴地说话结巴口吃 说话时突然不自觉地停顿，并倾向于重复单词的首字母 引申到结结巴巴地说出 吃力地说某事，重复单词的首字母并突然不自觉地停顿 名 结巴口吃 a tendency to stammer
oriental            形 东方人的 属于、来自或具有亚洲(尤指东亚)特征的 东方的 (指珍珠或其他珠宝)东方的 名 东方人 有东亚血统的人 带有攻击冒犯性 开头o可以大写 词根orient 同根词orientation
eloquent            形 雄辩的口才流利的 fluent or persuasive in speaking or writing 引申到传神达意的明确表示的 清楚地表达或指示某事的 意似rhetoric
envoy               名 (外交)使者使节 信使或代表，尤指执行外交任务的人 特命全权公使 级别低于大使，高于临时代办的全权公使
diligent            形 勤奋勤勉坚持不懈的细致的 对某人的工作或职责具有或表现出细心和尽责的
constituent         形 组成构成的 being a part of a whole 有选举权的 作为一个组织的有投票权的成员并有任命或选举的权力的 引申到有宪法制定(或修改)权的 能制定或改变政治宪法的 名 成分部分 a component part of something 选民 选出立法机构代表的地区的成员 应该同根constitution
reproach            动 责备 对(某人)的行为表示不赞成或失望 引申到指责谴责 accuse someone of 用法reproach someone with 名 责备责备的言辞 不赞成或失望的表示 引申到使(某人或某事)的缺点更明显的东西 用法a reproach to 形似approach
