greed ɡriːd  ɡriːd
protocol ˈprəʊtəkɒl  ˈproʊtəkɑːl
intercourse ˈɪntəkɔːs  ˈɪntərkɔːrs
superstition ˌsuːpəˈstɪʃ(ə)n  ˌsuːpərˈstɪʃ(ə)n
giggle ˈɡɪɡ(ə)l  ˈɡɪɡ(ə)l
pope pəʊp  poʊp
messenger ˈmesɪndʒə(r)  ˈmesɪndʒər
unilateral ˌjuːnɪˈlætrəl  ˌjuːnɪˈlætrəl
wharf wɔːf  wɔːrf
antenna ænˈtenə  ænˈtenə
allude əˈluːd  əˈluːd
oar ɔː(r)  ɔːr
knob nɒb  nɑːb
distill dɪˈstɪl  dɪˈstɪl
flutter ˈflʌtə(r)  ˈflʌtər
transistor trænˈzɪstə(r)  trænˈzɪstər
bull bʊl  bʊl
qualitative ˈkwɒlɪtətɪv  ˈkwɑːlɪteɪtɪv
turtle ˈtɜːt(ə)l  ˈtɜːrt(ə)l
stammer ˈstæmə(r)  ˈstæmər
oriental ˌɔːriˈent(ə)l  ˌɔːriˈent(ə)l
eloquent ˈeləkwənt  ˈeləkwənt
envoy ˈenvɔɪ  ˈenvɔɪ
diligent ˈdɪlɪdʒənt  ˈdɪlɪdʒənt
constituent kənˈstɪtʃuənt  kənˈstɪtʃuənt
reproach rɪˈprəʊtʃ  rɪˈproʊtʃ
quiver ˈkwɪvə(r)  ˈkwɪvər
beset bɪˈset  bɪˈset
bleach bliːtʃ  bliːtʃ
pathetic pəˈθetɪk  pəˈθetɪk
urine ˈjʊərɪn  ˈjʊrɪn
bouquet buˈkeɪ  buˈkeɪ
propaganda ˌprɒpəˈɡændə  ˌprɑːpəˈɡændə
