cleanse             动 清洁清洗 使(某物，尤指皮肤)彻底清洁 引申到整顿摆脱 摆脱不愉快或污秽的东西 免除驱除净化 免除(某人)的罪恶或罪责 自是词根 词源clean
repel               动 击退抵御 驱赶或迫使(攻击者或攻击者)后退或走开 引申到排斥 (指磁极或电场)使(类似磁化或带电的东西)远离自身 或者与…不融合 (指物质)不与(另一物质)混合或不受(另一物质)影响 使厌恶 令人厌恶或讨厌 不愿接受 拒绝接受(某事，尤指论点或理论) 正式说法
topple              动 (使)不稳(而倒下) 使失去平衡或使失去平衡而跌倒 引申到颠覆推翻 解除(政府或当权者)的权力;推翻
stride              动 大步阔步走(大且坚定) 坚定地朝着特定的方向走或者沿着(街道或其他地方)以漫长而果断的步伐走来走去 跨越 一大步跨过(障碍) 用法stride across/over 引申到跨骑支配 bestride 文学用语 名 大步阔步 a long, decisive step 引申到步态步伐 在走路或跑步中一步的长度或采取步骤的方式 进步进展 朝着目标前进的一步或阶段 抽象的大步阔步 用法strides 引申到步调节奏 良好或有规律的进展速度，尤指在缓慢或犹豫的开始后 添加了环境和自身修饰的进步进展 用法one's stride
ivory               名 象牙 一种坚硬的乳白色物质，构成大象、海象或独角鲸象牙的主要部分，通常(尤指以前)用于制作装饰品和其他物品 引申到象牙制品 an object made of ivory 或者钢琴键人的牙齿 非正式说法 音似irony
lesbian             形 女同性恋的 指或关于被其他女人在性或浪漫上吸引的女人的，或与女人之间的性吸引或性活动有关的 名 女同性恋者 被其他女人在性或浪漫方面吸引的女人;女同性恋者
quart               名 夸脱 液体容量单位，等于四分之一加仑或两品脱，在英国约等于1.13升，在美国约等于0.94升或者干容量单位，约等于1.10升
congregate          动 聚集集合 gather into a crowd or mass
pore                名 人毛孔植物气孔土壤细孔 表面上的微小开口，尤指生物体的皮肤或外壳，气体、液体或微小颗粒可通过 动 仔细阅读认真研究 专心于阅读或研究(某事) 用法pore over/through 形似pope
cloak               名 披风 一种松散地挂在肩上的无袖户外外套 引申到掩饰 用来隐藏或伪装的东西 用法cloaks 英式说法 动 披上穿上披风 dress in a cloak 引申到遮掩掩饰 隐藏、遮盖或伪装(某物) 意似cape
patronize           动 表现出高人一等的姿态 以一种表面上友善或有帮助的方式对待，但却流露出优越感 经常光顾 经常光顾(商店、餐馆或其他机构) 引申到资助 给予(个人、组织或事业)财政或其他支持 词根patron 英美都是eɪ 但是到了动词英式是æ美式是eɪ
stroll              动 溜达 walk in a leisurely way (体育比赛)轻而易举地获胜 不费吹灰之力就获得体育比赛的胜利 名 溜达 轻易取得的胜利容易实现的目标 a victory or objective that is easily achieved
annex               动 附加(尤指对文件补充) 作为额外的或从属的部分添加，尤指添加到文件中 强占并吞兼并 通过占有在自己的领土上增加(领土) 名 (文件的)附录附件 an addition to a document 附属建筑 与主楼相连或相关联的建筑，提供额外的空间或住宿
sob                 动 啜泣 大声地哭，发出巨大的、抽搐的喘息声 引申到啜泣抽噎着说 一边大声哭一边说 名 啜泣啜泣声 an act or sound of sobbing
static              形 静止的停滞的一成不变的 缺乏运动、行动或变化的，尤指以不受欢迎或无趣的方式 名 静电噪声静电干扰 在电话、收音机或其他通讯系统上发出的噼啪声或嘶嘶声 引申到静电 static electricity的简写 意似stationary
convoy              动 结队护送护航 (指军舰或武装部队)陪同(一组船只或车辆)保护 名 车队船队(尤指护卫) 一起航行的一组船只或车辆，尤指有武装部队、军舰或其他车辆作为保护 形似envoy
lame                形 瘸腿的 (尤指动物)由于腿部或脚部受伤或生病而不能轻松行走的或者人(指腿或脚)受伤害或疾病的影响 乏味差劲拙劣的 (指意在娱乐的事物)乏味的 引申到缺乏说服力的 (指解释或借口)站不住脚的 或者社交方面幼稚无能的 (指人)迟钝的、不时髦的或不善社交的 美式说法 动 使...瘸腿 make (a person or animal) lame 意似limp cripple
obscene             名 淫秽暴力道德败坏的 (指对性问题的描绘或描述)按照公认的道德和体面标准令人反感或恶心的 引申到骇人听闻令人厌恶的 违反道德原则;令人反感的
analogy             名 类比 一物与另一物之间的比较，通常是为了解释或澄清 引申到类似 对应或部分相似 同根词analogue
premier             形 最重要的最早最初的 在重要性、次序或地位上居于首位的;领先的 of earliest creation 名 首相总理 首相或其他政府首脑 引申到州省首相总理 (在澳大利亚和加拿大)州或省政府的首席部长
hardy               形 强壮坚强的吃苦耐劳的 能忍受困难条件的;健壮的 引申到耐寒的 (指植物)能在室外过冬的
assassination       名 暗杀行刺 the action of assassinating someone 同根词assassinate
radius              名 半径 从圆或球的中心到圆周的直线 引申到半径范围 从中心到各个方向的特定距离 动 使(角边缘)成弧形圆形 使(角或边)呈圆形 复数是radii  ˈreɪdiaɪ
reminiscent         形 怀旧的 tending to remind one of something 引申到缅怀往事的 沉迷于或暗示沉迷于记忆的 程度更深吧 引人联想的 通过相似来暗示某事
tick                名 钩号 一种标记(✓)，用于表明列表或文本中的某一项是正确的或已被选择、检查或处理 英式说法北美说法是check mark 滴答声 有规律的短而尖锐的声音，尤指时钟或手表发出的声音 引申到一瞬间 a moment 动 打勾 在表格、问卷等上用打勾或打勾来标记(某项)，表示某事已被选择、检查、批准或处理 滴答作响 (指时钟或其他机械装置)发出有规律的短而尖锐的声音，通常是每过一秒发出一声 形似tickle
beware              动 当心小心谨防 对风险或危险保持谨慎和警惕
cylinder            名 圆柱体 一个有平行直边和圆形或椭圆形横截面的立体几何图形 引申到圆筒 具有圆柱体形状的实心或空心的物体、物体或部分 气缸 蒸汽或内燃机中的活塞室 高压钢瓶 在压力下保存液化气的圆柱形容器 自是词根 词源cycle
