ensue           动 接着发生 在之后或作为结果发生的
anguish         动 感到极度痛苦 对某事极度苦恼 名 极度痛苦 严重的精神或身体上的痛苦或折磨
sarcasm         名 讽刺挖苦 用讽刺来嘲弄或表达蔑视 意似satire irony
pastry          名 油酥面团 由面粉、油脂和水制成的面团，用作馅饼等烤盘的底和覆盖物 引申到油酥糕点 一种有奶油、果酱或水果馅的甜点
ruthless        形 无情残忍的坚决彻底的 对别人没有怜悯或同情的 词源ruth 意似relentless
fortnight       名 两星期 a period of two weeks 英式说法 引申到两星期后 (前面有指定的日期)用于表示某件事将在该日之后两周发生 用法示例on Saturday fortnight
tenure          动 授予……终身职位 给(某人)一个固定职位，尤指教师或讲师 名 保有权居住权 土地或建筑物被持有或占用的条件 任职 担任职务 引申到任期 一个职位的任期 终身职位 经过试用期后保证永久就业，尤指作为教师或讲师
hurdle          名 栏架 运动员在比赛中必须跳过的一系列直立架中的一个 引申到跨栏比赛 a hurdle race 障碍难关 必须克服的问题或困难 临时围栏 栅栏用柳树或木条加固的可移动的长方形框架，用作临时围栏 主要英式说法 动 参加跨栏比赛 take part in a hurdle race 引申到跨过栏架(其他某障碍) 跑步时跳过(障碍或其他障碍) 用临时围栏隔开(或围住) enclose or fence off with hurdles
grief           名 (强烈)悲伤悲痛 强烈的悲伤，尤指因某人死亡而引起的 引申到伤心事原因 强烈悲伤的事例或原因 麻烦 trouble or annoyance 非正式说法
scramble        动 爬攀登 用手和脚快速地或笨拙地爬上陡峭的斜坡或穿过粗糙的地面 引申到匆忙笨拙移动穿衣执行操作取得结果争夺竞争 命令(飞机)紧急起飞 命令(战斗机或其飞行员)在紧急情况下立即起飞或采取行动 打乱使混乱 使(某物)混乱 名 爬攀登 艰难或匆忙地爬上或翻过某物 紧急起飞 战斗机的紧急起飞 杂乱的混合物 a disordered mixture of things
harass          动 恐吓烦扰 受到侵略性压力或恐吓的 引申到不断骚扰攻击 对(敌人)反复进行小规模攻击
adversary       名 对手 one's opponent in a contest, conflict, or dispute 形 同adversarial 形 敌对的对立的 涉及或以冲突或对立为特征的
toil            动 (长时间)辛勤工作苦干 非常努力地或不间断地工作 引申到艰难缓慢地移动跋涉 缓慢而困难地移动 名 苦工苦活 累人的体力劳动
meadow          名 草地 一块草地，尤指用来做干草的草地 引申到河边低洼地 靠近河流的一块低地
rupture         动 断裂破裂 (尤指管道或容器，或器官或膜等身体部位)突然破裂或破裂 断绝破坏 破坏或扰乱(和谐的感觉或情况) 名 断裂破裂 突然完全破裂或破裂的实例 断绝破坏 破坏和谐关系
concurrent      形 同时存在发生完成的 同时存在、发生或完成的 一致的 agreeing or consistent 如观点看法
disturbance     名 打扰弄乱 安定和平状态的中断 如和平和守法行为的崩溃 失调紊乱 正常的精神或身体功能被打乱的状态 词根disturb 意似disorder
dismay          动 使担忧沮丧惊愕 使(某人)感到忧虑和苦恼 名 担忧沮丧惊愕 因意外事件引起的忧虑和苦恼
ascertain       动 查明确定 确定地找出(某事);确保
corps           名 军 部队的主要分支，由两个或两个以上的师组成 就是军队大小的衡量单位 引申到特种部队 军队中被指派从事某种工作的分支 团队一群人 从事某一特定活动的一群人 如记者团
repute          名 名声 对某人或某事的普遍看法;被以一种特殊的方式看待的状态 引申到知名度 受到高度重视的状态;fame 动 据说... 被普遍认为是或正在存在(但并非绝对如此) 同根词reputation
fascist         名 法西斯主义者 法西斯主义政治哲学或制度的拥护者或追随者 引申到独断专行专横霸道的人 极端专制、偏执或压迫的人 形 法西斯主义的 relating to or supporting fascism 引申到独断专行专横霸道的 极端专制的、不宽容的或压迫的
deregulate      动 撤销对…的管制限制 remove regulations or restrictions from
luminous        形 发光的 出光的;明亮的或闪亮的 引申到鲜亮鲜艳的 颜色非常鲜艳的;俗艳的 形似illuminate
pretext         名 借口 为某一行为提供的理由，但不是真正的理由
emancipate      动 解放使不受约束 解放，尤指从法律、社会或政治的限制中解放出来的 引申到把(孩子)从父母的权威中解放出来 或者free (someone) from slavery
bronze          名 青铜 一种含三分之一锡的黄褐色铜合金 引申到青铜像雕塑或其他制品古铜色 动 使被太阳晒黑呈青铜色 使(某人或身体的一部分)晒黑 镶上青铜面 给(某物)镀上青铜或类似青铜的表面
apprentice      名 学徒 向有技能的雇主学习一门手艺的人，他同意以低工资在固定的时间内工作 引申到新手 a beginner 动 收学徒 employ (someone) as an apprentice 给某人当学徒 serve as an apprentice
adjacent        形 毗连的 在别的东西旁边或毗邻的 如房间 附近临近的 在特定地点旁边或非常靠近的 引申到抽象的附近临近的 具有某一特定概念的某些方面特征的，或与之相似的 用于连词如Hollywood-adjacent
thigh           名 大腿 人腿在臀部和膝盖之间的部分 引申到动物大腿 其它动物与人类大腿相对应的身体部位 如鸡腿
loot            动 抢劫掠夺 从(某地)偷窃货物，尤指在战争或暴乱期间 名 赃物掠夺物 在战争中从敌人那里夺取的私有财产
barn            名 谷仓 用于储存谷物、干草或稻草或饲养牲畜的大型农场建筑 引申到大车库 用于存放公路或铁路车辆的大车棚 北美说法 或者空荡荡的大建筑 大而不吸引人的建筑 意似depot
wrench          动 猛扭猛拉扭伤 突然而猛烈地拉或扭或者由于突然的扭曲运动而使(身体的一部分)受伤 用扳手转动 用扳手转动(某物，尤指螺帽或螺栓) 名 猛扭猛拉 a sudden violent twist or pull (离别)痛苦 因自己或他人的离开而产生的悲伤或痛苦的感觉 扳手 一种可调节的工具，如扳手，用于夹紧和转动螺母或螺栓
