ensue ɪnˈsjuː  ɪnˈsuː
anguish ˈæŋɡwɪʃ  ˈæŋɡwɪʃ
sarcasm ˈsɑːkæzəm  ˈsɑːrkæzəm
pastry ˈpeɪstri  ˈpeɪstri
ruthless ˈruːθləs  ˈruːθləs
fortnight ˈfɔːtnaɪt  ˈfɔːrtnaɪt
tenure ˈtenjə(r)  ˈtenjər
hurdle ˈhɜːd(ə)l  ˈhɜːrd(ə)l
grief ɡriːf  ɡriːf
scramble ˈskræmb(ə)l  ˈskræmb(ə)l
harass ˈhærəs  həˈræs
adversary ˈædvəsəri  ˈædvərseri
toil tɔɪl  tɔɪl
meadow ˈmedəʊ  ˈmedoʊ
rupture ˈrʌptʃə(r)  ˈrʌptʃər
concurrent kənˈkʌrənt  kənˈkɜːrənt
disturbance dɪˈstɜːbəns  dɪˈstɜːrbəns
dismay dɪsˈmeɪ  dɪsˈmeɪ
ascertain ˌæsəˈteɪn  ˌæsərˈteɪn
corps kɔː(r)  kɔːr
repute rɪˈpjuːt  rɪˈpjuːt
fascist ˈfæʃɪst  ˈfæʃɪst
deregulate ˌdiːˈreɡjuleɪt  ˌdiːˈreɡjuleɪt
luminous ˈluːmɪnəs  ˈluːmɪnəs
pretext ˈpriːtekst  ˈpriːtekst
emancipate ɪˈmænsɪpeɪt  ɪˈmænsɪpeɪt
bronze brɒnz  brɑːnz
apprentice əˈprentɪs  əˈprentɪs
adjacent əˈdʒeɪs(ə)nt  əˈdʒeɪs(ə)nt
thigh θaɪ  θaɪ
loot luːt  luːt
barn bɑːn  bɑːrn
wrench rentʃ  rentʃ
