uprising ˈʌpraɪzɪŋ  ˈʌpraɪzɪŋ
given ˈɡɪv(ə)n  ˈɡɪv(ə)n
dissident ˈdɪsɪdənt  ˈdɪsɪdənt
bout baʊt  baʊt
voucher ˈvaʊtʃə(r)  ˈvaʊtʃər
metallic məˈtælɪk  məˈtælɪk
appease əˈpiːz  əˈpiːz
cauliflower ˈkɒliflaʊə(r)  ˈkɑːliflaʊər
exponent ɪkˈspəʊnənt  ɪkˈspoʊnənt
inflict ɪnˈflɪkt  ɪnˈflɪkt
purify ˈpjʊərɪfaɪ  ˈpjʊrɪfaɪ
blink blɪŋk  blɪŋk
barometer bəˈrɒmɪtə(r)  bəˈrɑːmɪtər
deduce dɪˈdjuːs  dɪˈduːs
latent ˈleɪt(ə)nt  ˈleɪt(ə)nt
henceforth ˌhensˈfɔːθ  ˌhensˈfɔːrθ
pudding ˈpʊdɪŋ  ˈpʊdɪŋ
avail əˈveɪl  əˈveɪl
denial dɪˈnaɪəl  dɪˈnaɪəl
hive haɪv  haɪv
lenient ˈliːniənt  ˈliːniənt
elegant ˈelɪɡənt  ˈelɪɡənt
insane ɪnˈseɪn  ɪnˈseɪn
inhibit ɪnˈhɪbɪt  ɪnˈhɪbɪt
glide ɡlaɪd  ɡlaɪd
stout staʊt  staʊt
indict ɪnˈdaɪt  ɪnˈdaɪt
encyclopedia ɪnˌsaɪkləˈpiːdiə  ɪnˌsaɪkləˈpiːdiə
synthesis ˈsɪnθəsɪs  ˈsɪnθəsɪs
partisan ˈpɑːtɪzæn; ˌpɑːtɪˈzæn  ˈpɑːrtəzn
sulfur ˈsʌlfə(r)  ˈsʌlfər
plaza ˈplɑːzə  ˈplɑːzə
liner ˈlaɪnə(r)  ˈlaɪnər
