supersonic ˌsuːpəˈsɒnɪk  ˌsuːpərˈsɑːnɪk
inaugurate ɪˈnɔːɡjəreɪt  ɪˈnɔːɡjəreɪt
posture ˈpɒstʃə(r)  ˈpɑːstʃər
jockey ˈdʒɒki  ˈdʒɑːki
bishop ˈbɪʃəp  ˈbɪʃəp
overthrow ˌəʊvəˈθrəʊ  ˌoʊvərˈθroʊ
dissipate ˈdɪsɪpeɪt  ˈdɪsɪpeɪt
hose həʊz  hoʊz
paralyse ˈpærəlaɪz  ˈpærəlaɪz
afflict əˈflɪkt  əˈflɪkt
abide əˈbaɪd  əˈbaɪd
appal əˈpɔːl  əˈpɔːl
slick slɪk  slɪk
fuse fjuːz  fjuːz
defiance dɪˈfaɪəns  dɪˈfaɪəns
mobilize ˈməʊbəlaɪz  ˈmoʊbəlaɪz
witch wɪtʃ  wɪtʃ
optic ˈɒptɪk  ˈɑːptɪk
ranch rɑːntʃ  ræntʃ
soluble ˈsɒljəb(ə)l  ˈsɑːljəb(ə)l
lime laɪm  laɪm
mute mjuːt  mjuːt
consulate ˈkɒnsjələt  ˈkɑːnsələt
fort fɔːt  fɔːrt
flare fleə(r)  fler
longitude ˈlɒŋɡɪtjuːd  ˈlɑːndʒɪtuːd
batch bætʃ  bætʃ
agitate ˈædʒɪteɪt  ˈædʒɪteɪt
pilgrim ˈpɪlɡrɪm  ˈpɪlɡrɪm
doctrine ˈdɒktrɪn  ˈdɑːktrɪn
yacht jɒt  jɑːt
martyr ˈmɑːtə(r)  ˈmɑːrtər
nil nɪl  nɪl
