corrupt kəˈrʌpt  kəˈrʌpt
arbitrate ˈɑːbɪtreɪt  ˈɑːrbɪtreɪt
standby ˈstændbaɪ  ˈstændbaɪ
retarded rɪˈtɑːdɪd  rɪˈtɑːrdɪd
whereabouts ˈweərəbaʊts  ˈwerəbaʊts
proximate ˈprɒksɪmət  ˈprɑːksɪmət
wretched ˈretʃɪd  ˈretʃɪd
missionary ˈmɪʃən(ə)ri  ˈmɪʃəneri
perplex pəˈpleks  pərˈpleks
staircase ˈsteəkeɪs  ˈsterkeɪs
conceit kənˈsiːt  kənˈsiːt
binoculars bɪˈnɒkjələz  bɪˈnɑːkjələrz
blush blʌʃ  blʌʃ
handbook ˈhændbʊk  ˈhændbʊk
hoist hɔɪst  hɔɪst
indicative ɪnˈdɪkətɪv  ɪnˈdɪkətɪv
clasp klɑːsp  klæsp
predecessor ˈpriːdəsesə(r)  ˈpredəsesər
shove ʃʌv  ʃʌv
tentative ˈtentətɪv  ˈtentətɪv
clog klɒɡ  klɑːɡ
poise pɔɪz  pɔɪz
foil fɔɪl  fɔɪl
rejoice rɪˈdʒɔɪs  rɪˈdʒɔɪs
reel riːl  riːl
inmate ˈɪnmeɪt  ˈɪnmeɪt
hibernate ˈhaɪbəneɪt  ˈhaɪbərneɪt
herb hɜːb  ɜːrb
deadlock ˈdedlɒk  ˈdedlɑːk
trench trentʃ  trentʃ
decimal ˈdesɪm(ə)l  ˈdesɪm(ə)l
queer kwɪə(r)  kwɪr
ratify ˈrætɪfaɪ  ˈrætɪfaɪ
