slap slæp  slæp
flank flæŋk  flæŋk
gospel ˈɡɒsp(ə)l  ˈɡɑːsp(ə)l
masculine ˈmæskjəlɪn  ˈmæskjəlɪn
audit ˈɔːdɪt  ˈɔːdɪt
misery ˈmɪzəri  ˈmɪzəri
plaintiff ˈpleɪntɪf  ˈpleɪntɪf
perfume ˈpɜːfjuːm  pərˈfjuːm
captive ˈkæptɪv  ˈkæptɪv
gracious ˈɡreɪʃəs  ˈɡreɪʃəs
abbreviation əˌbriːviˈeɪʃn  əˌbriːviˈeɪʃn
warfare ˈwɔːfeə(r)  ˈwɔːrfer
heroin ˈherəʊɪn  ˈheroʊɪn
embargo ɪmˈbɑːɡəʊ  ɪmˈbɑːrɡoʊ
sour ˈsaʊə(r)  ˈsaʊər
blaze bleɪz  bleɪz
apology əˈpɒlədʒi  əˈpɑːlədʒi
paperback ˈpeɪpəbæk  ˈpeɪpərbæk
clamp klæmp  klæmp
clutch klʌtʃ  klʌtʃ
renown rɪˈnaʊn  rɪˈnaʊn
secular ˈsekjələ(r)  ˈsekjələr
napkin ˈnæpkɪn  ˈnæpkɪn
foam fəʊm  foʊm
condolence kənˈdəʊləns  kənˈdoʊləns
quench kwentʃ  kwentʃ
maneuver məˈnuːvə(r)  məˈnuːvər
debut ˈdeɪbjuː  deɪˈbjuː
tournament ˈtʊənəmənt  ˈtʊrnəmənt
prosecute ˈprɒsɪkjuːt  ˈprɑːsɪkjuːt
convene kənˈviːn  kənˈviːn
overt əʊˈvɜːt  oʊˈvɜːrt
gasp ɡɑːsp  ɡæsp
