desperate ˈdespərət  ˈdespərət
streamline ˈstriːmlaɪn  ˈstriːmlaɪn
adjoin əˈdʒɔɪn  əˈdʒɔɪn
discord ˈdɪskɔːd  ˈdɪskɔːrd
cynical ˈsɪnɪk(ə)l  ˈsɪnɪk(ə)l
spear spɪə(r)  spɪr
drainage ˈdreɪnɪdʒ  ˈdreɪnɪdʒ
clergy ˈklɜːdʒi  ˈklɜːrdʒi
promising ˈprɒmɪsɪŋ  ˈprɑːmɪsɪŋ
shipyard ˈʃɪpjɑːd  ˈʃɪpjɑːrd
wreck rek  rek
defer dɪˈfɜː(r)  dɪˈfɜːr
zigzag ˈzɪɡzæɡ  ˈzɪɡzæɡ
faction ˈfækʃ(ə)n  ˈfækʃ(ə)n
rattle ˈræt(ə)l  ˈræt(ə)l
dough dəʊ  doʊ
arc ɑːk  ɑːrk
momentous məˈmentəs  moʊˈmentəs
convention kənˈvenʃ(ə)n  kənˈvenʃ(ə)n
overwhelming ˌəʊvəˈwelmɪŋ  ˌoʊvərˈwelmɪŋ
cosmopolitan ˌkɒzməˈpɒlɪtən  ˌkɑːzməˈpɑːlɪtən
scrap skræp  skræp
cafeteria ˌkæfəˈtɪəriə  ˌkæfəˈtɪriə
hostage ˈhɒstɪdʒ  ˈhɑːstɪdʒ
cocktail ˈkɒkteɪl  ˈkɑːkteɪl
profess prəˈfes  prəˈfes
superintendent ˌsuːpərɪnˈtendənt  ˌsuːpərɪnˈtendənt
lubricate ˈluːbrɪkeɪt  ˈluːbrɪkeɪt
midwife ˈmɪdwaɪf  ˈmɪdwaɪf
resume rɪˈzjuːm  rɪˈzuːm
ardent ˈɑːd(ə)nt  ˈɑːrd(ə)nt
beetle ˈbiːtl  ˈbiːtl
custody ˈkʌstədi  ˈkʌstədi
