overwhelm ˌəʊvəˈwelm  ˌoʊvərˈwelm
botany ˈbɒtəni  ˈbɑːtəni
knight naɪt  naɪt
comet ˈkɒmɪt  ˈkɑːmɪt
bead biːd  biːd
antonym ˈæntənɪm  ˈæntənɪm
cub kʌb  kʌb
pamphlet ˈpæmflət  ˈpæmflət
exquisite ɪkˈskwɪzɪt  ɪkˈskwɪzɪt
resemblance rɪˈzembləns  rɪˈzembləns
hysterical hɪˈsterɪk(ə)l  hɪˈsterɪk(ə)l
clench klentʃ  klentʃ
beak biːk  biːk
antitrust ˌæntiˈtrʌst  ˌæntiˈtrʌst
auditory ˈɔːdətri  ˈɔːdətɔːri
brittle ˈbrɪt(ə)l  ˈbrɪt(ə)l
combustion kəmˈbʌstʃən  kəmˈbʌstʃən
conjure ˈkʌndʒə(r)  ˈkɑːndʒər
downfall ˈdaʊnfɔːl  ˈdaʊnfɔːl
footwear ˈfʊtweə(r)  ˈfʊtwer
grassroots ˈɡraːsruːts  ˈɡræsˈrʊts
homogenize həˈmɒdʒənaɪz  həˈmɑːdʒənaɪz
innate ɪˈneɪt  ɪˈneɪt
juggle ˈdʒʌɡl  ˈdʒʌɡl
meltdown ˈmeltdaʊn  ˈmeltdaʊn
pinpoint ˈpɪnpɔɪnt  ˈpɪnpɔɪnt
protagonist prəˈtæɡənɪst  prəˈtæɡənɪst
reimburse ˌriːɪmˈbɜːs  ˌriːɪmˈbɜːrs
rollout ˈrəʊlaʊt  ˈroʊlaʊt
swarm swɔːm  swɔːrm
syllabus ˈsɪləbəs  ˈsɪləbəs
terrestrial təˈrestriəl  təˈrestriəl
vegan ˈviːɡən  ˈviːɡən
