regiment ˈredʒɪmənt  ˈredʒɪmənt
dubious ˈdjuːbiəs  ˈduːbiəs
bureaucrat ˈbjʊərəkræt  ˈbjʊrəkræt
propagate ˈprɒpəɡeɪt  ˈprɑːpəɡeɪt
bilateral ˌbaɪˈlætərəl  ˌbaɪˈlætərəl
cannon ˈkænən  ˈkænən
periodic ˌpɪəriˈɒdɪk  ˌpɪriˈɑːdɪk
crunch krʌntʃ  krʌntʃ
peep piːp  piːp
slot slɒt  slɑːt
discreet dɪˈskriːt  dɪˈskriːt
fragrant ˈfreɪɡrənt  ˈfreɪɡrənt
brood bruːd  bruːd
batter ˈbætə(r)  ˈbætər
void vɔɪd  vɔɪd
fortify ˈfɔːtɪfaɪ  ˈfɔːrtɪfaɪ
fellowship ˈfeləʊʃɪp  ˈfeloʊʃɪp
flask flɑːsk  flæsk
brace breɪs  breɪs
proceedings prəˈsiːdɪŋz  prəˈsiːdɪŋz
stitch stɪtʃ  stɪtʃ
casino kəˈsiːnəʊ  kəˈsiːnoʊ
cockpit ˈkɒkpɪt  ˈkɑːkpɪt
retaliate rɪˈtælieɪt  rɪˈtælieɪt
tug tʌɡ  tʌɡ
rotate rəʊˈteɪt  ˈroʊteɪt
spine spaɪn  spaɪn
militia məˈlɪʃə  məˈlɪʃə
vein veɪn  veɪn
cathedral kəˈθiːdrəl  kəˈθiːdrəl
catholic ˈkæθlɪk  ˈkæθlɪk
envelope ˈenvələʊp  ˈenvəloʊp
jelly ˈdʒeli  ˈdʒeli
