foremost            形 最前面重要的 在等级、重要性或地位上最突出的 副 首先第一最前面重要地
shorthand           名 速记法 通过缩写和符号快速书写的方法，尤用于口授目前使用 引申到简略表达方式 简短的表达或指称某事
coup                名 政变 突然地、暴力地、非法地从政府手中夺取权力 突然成功壮举 成功地完成困难的事情的实例 音似cool 后者多了结尾l
degrade             动 使受辱 轻视或不尊重地对待或尊重(某人) 引申到使恶化降低质量 降低…的质量;使恶化 如自然生态 降解 化学分解或变质 形似downgrade 动 降职降级 降低到更低的等级、等级或重要程度 名 降职降级的实例
subsidiary          动 次要的但相关或补充 不如某物重要但与之相关或补充的 引申到附属的子公司的 (指公司)由控股公司或母公司控制 名 子公司附属公司 由控股公司控制的公司 似乎词源subsidy
preclude            动 防止杜绝 防止发生;使不可能 引申到防止杜绝 (指某种情况或条件)阻止某人做某事 短语preclude someone from 后者有固定用法防止做某事 辨析 prevent带有主观能动防止 preclude更加正式且表示客观情况的防止
assorted            形 各种各样的 各种各样的组合在一起的 词根assort不常见 同根词assortment
reclaim             动 拿回要求归还 找回或收回(先前丢失、给予或支付的东西);获取...的返回 开垦 开垦(荒地或以前在水下的土地) 引申到回收利用 回收(废料)再用;回收 名 reclaim或被reclaim行为过程 形似proclaim claim
crackdown           名 镇压打击 限制不受欢迎或非法的人或行为的一系列严厉措施
portfolio           名 公文包画夹 装图画或地图等松散纸张的又大又薄的扁平盒子 引申到作品集 旨在向潜在雇主展示个人能力的一组创造性作品 或摄影集 准备给潜在雇主看的一套模特或演员的各种照片 投资组合 个人或组织持有的一系列投资
contrive            动 设法促成 通过巧妙的技巧和技巧创造或带来(一个物体或一种情况) 引申到出乎意料地做到竟然弄得 设法做一些愚蠢的事情或创造一个不受欢迎的情况 一种幽默讽刺的说法 形似conspire
overflow            动 溢出 (尤指液体)流过容器的边缘 也可以指容器空间甚至情绪 名 溢出 引申到溢出多余的部分
necessitate         动 使成为必要 使(某物)成为必要的结果或后果或者使(某人)做某事成为必要 词根necessity 同根词necessary
verdict             名 裁决判决 在民事或刑事案件或调查中对事实问题的决定 引申到意见判断 an opinion or judgement
litter              名 垃圾 扔在露天或公共场所的废纸、罐头、瓶子等垃圾 引申到乱放的杂物 一堆乱七八糟的东西到处乱放 一胎幼崽 一种动物在同一时间所生的一群小动物 猫砂(家畜睡觉用的)褥草 动 乱扔 用垃圾或到处乱放的大量物品弄得(一个地方或区域)不整洁
statute             名 成文法法规 由立法机构通过的成文法 引申到规章制度 组织或机构的规则 形似音似statue 前者多了结尾辅音t
jurisdiction        名 司法权 作出法律决定和判决的官方权力 引申到管辖权 作出法律决定和判决的权力范围 管辖区域 法院或其他机构的法律权力所延伸的领土或活动范围 形似judiciary
clan                名 宗族 联系紧密的家族，尤指在苏格兰高地 引申到大家庭 a large family 或团体集团 一群有强烈共同兴趣的人
bewilder            动 使迷惑 使(某人)感到困惑 自是词根
ammunition          名 弹药军火 子弹和炮弹的供应或数量 引申到证据材料 在辩论中可以用来支持自己观点的考虑因素
spiral              形 螺旋形的 绕着平面上的中心点或绕着轴线缠绕成连续且逐渐变宽(或变紧)的曲线，从而形成圆锥体的 名 螺旋形 螺旋形曲线、形状、图案或物体 不断螺旋形上升下降恶化 物价、工资等的上升或下降，每一次都是对前一个刺激的上升或下降的反应或由于某一特定特征的不断增加或减少而退化的过程 动 (使)螺旋形移动 move in a spiral course 不断螺旋形上升下降恶化 显示出持续和剧烈增长或不断减少或恶化
barracks            名 兵营 来安置士兵的大型建筑物或建筑群 引申到营房 在恶劣的条件下用来容纳特定人群(如劳工或囚犯)的建筑物或一组建筑物 或者简陋的大房子 a large, ugly building 还有另一个单词barrack也不多见
compliment          名 赞美赞扬 赞美或赞赏的礼貌表达 引申到表示赞扬的行为祝贺问候致意(正式问候) 动 赞美赞扬
poultry             名 家禽 家禽，如鸡、火鸡、鸭和鹅 引申到家禽肉 作为食物的鸡或其它家禽的肉
monarchy            名 君主制政体 以君主为首脑的政府形式 引申到君主国(有君主的国家) a state that has a monarch 或皇室 一个国家的君主和王室 用法monarchy
magistrate          名 地方执法官(官职稍小) 执行法律的民事官员，尤指主持法庭处理轻微罪行并对较严重的罪行进行初步听证的人
delude              动 欺骗 使(某人)相信不真实的事物 形似dilute 意似fraud deceive
rigour              名 缜密严苛 非常彻底和仔细的品质 引申到严格严苛 severity or strictness 或严酷 恶劣和苛刻的条件 同根词rigorous 少了u
persecute           动 (种族、宗教或政治)迫害 使(某人)受到敌意和虐待，尤指因为他们的种族、宗教、性取向或政治信仰 引申到骚扰纠缠 不断地骚扰或惹恼(某人)
remainder           名 剩余物 某物的其他部分完成、使用或处理后剩下的一部分 引申到余数滞销书 动 削价处理(未售出书) 减价出售(未售出的书) 词根remain
antagonism          名 敌意对立 active敌意或反对
override            动 否决使无效 用职权拒绝或取消(决定、意见等) 引申到优先于比……更重要 be more important than 手动控制 中断(自动装置)的动作，通常是为了进行手动控制 名 否决 通过行使权力或赢得选票而取消一项决定 (从自动改为手动的)超控装置 用于暂停机器上自动功能的装置 超量增加 预算、工资或费用的超额或增加
salon               名 美发美容厅高级服装店 理发师、美容师或时装设计师进行交易的场所 (大宅中的)客厅 大房子里的接待室 引申到沙龙 在上流社会显贵女士家中举行的定期的社交聚会，尤指作家和艺术家或应名人或社会名流的邀请，知识分子或其他知名人士的聚会
