foremost ˈfɔːməʊst  ˈfɔːrmoʊst
shorthand ˈʃɔːthænd  ˈʃɔːrthænd
coup kuː  kuː
degrade dɪˈɡreɪd  dɪˈɡreɪd
subsidiary səbˈsɪdiəri  səbˈsɪdieri
preclude prɪˈkluːd  prɪˈkluːd
assorted əˈsɔːtɪd  əˈsɔːrtɪd
reclaim rɪˈkleɪm  rɪˈkleɪm
crackdown ˈkrækdaʊn  ˈkrækdaʊn
portfolio pɔːtˈfəʊliəʊ  pɔːrtˈfoʊlioʊ
contrive kənˈtraɪv  kənˈtraɪv
overflow ˌəʊvəˈfləʊ  ˌoʊvərˈfloʊ
necessitate nəˈsesɪteɪt  nəˈsesɪteɪt
verdict ˈvɜːdɪkt  ˈvɜːrdɪkt
litter ˈlɪtə(r)  ˈlɪtər
statute ˈstætʃuːt  ˈstætʃuːt
jurisdiction ˌdʒʊərɪsˈdɪkʃn  ˌdʒʊrɪsˈdɪkʃ(ə)n
clan klæn  klæn
bewilder bɪˈwɪldə(r)  bɪˈwɪldər
ammunition ˌæmjəˈnɪʃ(ə)n  ˌæmjəˈnɪʃ(ə)n
spiral ˈspaɪrəl  ˈspaɪrəl
barracks ˈbærəks  ˈbærəks
compliment ˈkɒmplɪmənt  ˈkɑːmplɪmənt
poultry ˈpəʊltri  ˈpoʊltri
monarchy ˈmɒnəki  ˈmɑːnərki
magistrate ˈmædʒɪstreɪt  ˈmædʒɪstreɪt
delude dɪˈluːd  dɪˈluːd
rigour ˈrɪɡə(r)  ˈrɪɡər
persecute ˈpɜːsɪkjuːt  ˈpɜːrsɪkjuːt
remainder rɪˈmeɪndə(r)  rɪˈmeɪndər
antagonism ænˈtæɡənɪzəm  ænˈtæɡənɪzəm
override ˌəʊvəˈraɪd  ˌoʊvərˈraɪd
salon ˈsælɒn  səˈlɑːn
