doze dəʊz  doʊz
notation nəʊˈteɪʃn  noʊˈteɪʃn
mistress ˈmɪstrəs  ˈmɪstrəs
armor ˈɑːmə(r)  ˈɑːrmər
hinge hɪndʒ  hɪndʒ
waive weɪv  weɪv
corresponding ˌkɒrəˈspɒndɪŋ  ˌkɔːrəˈspɑːndɪŋ
doubtless ˈdaʊtləs  ˈdaʊtləs
auction ˈɔːkʃ(ə)n  ˈɔːkʃn
predominant prɪˈdɒmɪnənt  prɪˈdɑːmɪnənt
ultraviolet ˌʌltrəˈvaɪələt  ˌʌltrəˈvaɪələt
curfew ˈkɜːfjuː  ˈkɜːrfjuː
menace ˈmenəs  ˈmenəs
barricade ˈbærɪkeɪd  ˈbærɪkeɪd
patriot ˈpætriət  ˈpeɪtriət
defendant dɪˈfendənt  dɪˈfendənt
magnet ˈmæɡnət  ˈmæɡnət
corpse kɔːps  kɔːrps
peddle ˈped(ə)l  ˈped(ə)l
emigrate ˈemɪɡreɪt  ˈemɪɡreɪt
sober ˈsəʊbə(r)  ˈsoʊbər
air-conditioning ˈeə kəndɪʃənɪŋ  ˈer kəndɪʃənɪŋ
epoch ˈiːpɒk  ˈepək
invalid ɪnˈvælɪd  ɪnˈvælɪd
devastating ˈdevəsteɪtɪŋ  ˈdevəsteɪtɪŋ
cram kræm  kræm
autobiography ˌɔːtəbaɪˈɒɡrəfi  ˌɔːtəbaɪˈɑːɡrəfi
uphold ʌpˈhəʊld  ʌpˈhoʊld
eminent ˈemɪnənt  ˈemɪnənt
corrode kəˈrəʊd  kəˈroʊd
situated ˈsɪtʃueɪtɪd  ˈsɪtʃueɪtɪd
layman ˈleɪmən  ˈleɪmən
humid ˈhjuːmɪd  ˈhjuːmɪd
