resultant           形 因而产生的 由于某事而发生或产生的 词根result
referendum          名 公民公决公民投票 选民就交由他们直接决定的单一政治问题进行的一般性投票
atrocity            名 残暴行为 极端邪恶或残忍的行为，通常涉及身体暴力或伤害 引申到令人非常不愉快或讨厌的东西
cordial             形 热情友好的 warm and friendly 强烈的(感觉强烈) strongly felt 名 甜果汁饮料 一种甜的水果味饮料 引申到烈性甜酒 不太难吃的药 a pleasant-tasting medicine
cavity              名 孔腔 固体物体内部的空缺空间 如胸腔 引申到(牙齿的)龋洞 牙齿蛀蚀的那部分
rim                 名 上边沿外边沿 物体的上边缘或外边缘，尤指圆形或近似圆形的物体 如杯子轮胎眼镜边沿 动 形成...的边沿给...镶边 形成或充当外边缘或边缘 引申到环绕(有污点) 有环绕的污点或沉淀物
militant            名 好斗激进好战的 赞成对抗或暴力的方法来支持政治或社会事业的 名 好斗激进好战分子 a militant person 自是词根 词源military 形似militia
turnout             名 到会参加人数 参加或参加某一事件的人数，尤指在选举中投票的人数 岔道口(道路分岔的地方) a road turning 引申到公路避车道临时停车道 道路上供汽车相互通行或临时停车的加宽的地方 装束装备 人或物的装备或穿着
cult                名 异教团体 一群相对较小的人，他们的信仰或行为，尤指与宗教有关，被其他人认为是奇怪的或邪恶的，或对成员施加了过度的控制 引申到狂热(过分)崇拜 对某一特定事物错位的或过分的崇拜 狂热时髦受追捧 在某一特定群体或社会阶层中流行或时髦的人或物 宗教信仰 对某一特定人物或物体的宗教崇拜和虔诚 意似craze
diffuse             动 使...扩散传播散布 广泛的分布在广阔的地区或在许多人之间的 物理抽象都有 形 弥漫分散的 分布在一大片区域上的;不集中 如疾病 模糊的不清晰的 lacking clarity or conciseness
groove              名 凹槽 在坚硬材料上的狭长的切口或凹陷 常规习惯 既定的例行程序或习惯 动 在…上开槽凹槽 make a groove or grooves in
velvet              名 天鹅绒丝绒 一种由丝、棉或尼龙制成的紧密编织的织物，一侧有短而厚的绒毛 引申到鹿茸 鹿角生长时覆盖在鹿角上的柔软的绒毛皮
definitive          形 最终的 (指结论或协议)决定性且权威地完成或达成的 引申到最权威的 (指书或其他文本)同类中最权威的 词根define 同根词definite
petrochemical       形 石油化工的 与石油或天然气的提炼和加工所得的物质有关或表示的 引申到石油化学(有关)的 relating to petrochemistry 名 石油化学产品 从石油和天然气中获得的化学物质 同根词petroleum
onset               形 开始(常指不快、持久事件的) 某事的开始，尤指不愉快的事情
transplant          动 (使)迁移移居 移动或转移(某人或某物)到另一个地方或情况 引申到移栽 在另一处重新种植(植物) 移植(器官) 把(活组织或器官)移植到身体的另一部分或另一个身体里 名 移植手术 移植器官或组织的手术 移植器官组织 移植的器官或组织 迁移移居(物者) 被转移到新地方或新情况的人或物
shaft               名 柄杆 形成工具或棍棒的柄、矛或箭的柄或类似物的长而窄的部分或部分 一道 一道光或一道闪电 用法a shaft of 矿道 通往矿井的狭长的、通常为垂直的洞，用于容纳建筑物中的电梯或提供通风 动 光成束地)照射 (of light) shine in beams
venue               名 发生地点 发生某事的地方，尤指有组织的活动，如音乐会、会议或体育比赛
impromptu           形 即兴的 未经计划、组织或排练就做的 副 即兴地 名 即兴曲(尤指独奏) 一段短小的器乐，尤指独奏，使人联想到即兴创作
composite           形 复合的合成的 由几个部分或元素组成的 名 复合物合成物 由几个部分或元素组成的东西 动 合成(图片) 将(两张或多张图像)合并成一幅图像，尤指电子合成 意似compound
tranquil            形 平静宁静的 free from disturbance;calm
proofread           动 校对 阅读(书面或印刷材料)并标出任何错误
coconut             名 椰子 热带棕榈树的椭圆形大棕籽，由被纤维包围的坚硬木质外壳组成，内衬可食用的白色果肉并含有一种透明液体 引申到椰子肉 椰子的肉，尤指用作食物时 椰子树 出产椰子的高大棕榈树，已在热带地区广泛种植。这棵树也是椰子、椰子和其他产品的来源
