resultant rɪˈzʌltənt  rɪˈzʌltənt
referendum ˌrefəˈrendəm  ˌrefəˈrendəm
atrocity əˈtrɒsəti  əˈtrɑːsəti
cordial ˈkɔːdiəl  ˈkɔːrdʒəl
cavity ˈkævəti  ˈkævəti
rim rɪm  rɪm
militant ˈmɪlɪtənt  ˈmɪlɪtənt
turnout ˈtɜːnaʊt  ˈtɜːrnaʊt
cult kʌlt  kʌlt
diffuse dɪˈfjuːs  dɪˈfjuːz
groove ɡruːv  ɡruːv
velvet ˈvelvɪt  ˈvelvɪt
definitive dɪˈfɪnətɪv  dɪˈfɪnətɪv
petrochemical ˌpetrəʊˈkemɪkl  ˌpetroʊˈkemɪkl
onset ˈɒnset  ˈɑːnset
transplant trænsˈplɑːnt  trænsˈplænt
shaft ʃɑːft  ʃæft
venue ˈvenjuː  ˈvenjuː
impromptu ɪmˈprɒmptjuː  ɪmˈprɑːmptuː
composite ˈkɒmpəzɪt  kəmˈpɑːzət
tranquil ˈtræŋkwɪl  ˈtræŋkwɪl
proofread ˈpruːfriːd  ˈpruːfriːd
coconut ˈkəʊkənʌt  ˈkoʊkənʌt
mock mɒk  mɑːk
consequent ˈkɒnsɪkwənt  ˈkɑːnsɪkwent
embroidery ɪmˈbrɔɪdəri  ɪmˈbrɔɪdəri
spice spaɪs  spaɪs
interim ˈɪntərɪm  ˈɪntərɪm
prune pruːn  pruːn
illicit ɪˈlɪsɪt  ɪˈlɪsɪt
hound haʊnd  haʊnd
colonel ˈkɜːn(ə)l  ˈkɜːrn(ə)l
volatile ˈvɒlətaɪl  ˈvɑːlət(ə)l
