token ˈtəʊkən  ˈtoʊkən
drawback ˈdrɔːbæk  ˈdrɔːbæk
jargon ˈdʒɑːɡən  ˈdʒɑːrɡən
weary ˈwɪəri  ˈwɪri
uranium juˈreɪniəm  juˈreɪniəm
pedal ˈped(ə)l  ˈped(ə)l
disarm dɪsˈɑːm  dɪsˈɑːrm
gorge ɡɔːdʒ  ɡɔːrdʒ
franchise ˈfræntʃaɪz  ˈfræntʃaɪz
seam siːm  siːm
prophet ˈprɒfɪt  ˈprɑːfɪt
crouch kraʊtʃ  kraʊtʃ
appraise əˈpreɪz  əˈpreɪz
infringe ɪnˈfrɪndʒ  ɪnˈfrɪndʒ
zeal ziːl  ziːl
solo ˈsəʊləʊ  ˈsoʊloʊ
mob mɒb  mɑːb
cunning ˈkʌnɪŋ  ˈkʌnɪŋ
stagnate stæɡˈneɪt  ˈstæɡneɪt
hypocrite ˈhɪpəkrɪt  ˈhɪpəkrɪt
beam biːm  biːm
tempo ˈtempəʊ  ˈtempoʊ
stipulate ˈstɪpjuleɪt  ˈstɪpjuleɪt
rehabilitate ˌriːəˈbɪlɪteɪt  ˌriːəˈbɪlɪteɪt
motel məʊˈtel  moʊˈtel
scrub skrʌb  skrʌb
radioactive ˌreɪdiəʊˈæktɪv  ˌreɪdioʊˈæktɪv
subsidize ˈsʌbsɪdaɪz  ˈsʌbsɪdaɪz
jerk dʒɜːk  dʒɜːrk
majesty ˈmædʒəsti  ˈmædʒəsti
ale eɪl  eɪl
tow təʊ  toʊ
plumber ˈplʌmə(r)  ˈplʌmər
