lipstick            名 口红 用小棒子涂在嘴唇上的彩色化妆品
treasury            名 资金 国家、机构或社会的资金或收入 引申到财政部 (在某些国家)负责预算和控制公共开支、管理国债和全面管理经济的政府部门 宝库珍藏室 存放宝藏的地方或建筑物 引申到大量珍品宝藏 贵重的或令人愉快的东西的商店或收藏 词根treasure
astray              副 迷路 偏离正确的道路或方向 误入歧途 错误的或道德上可疑的行为 意似stray
beckon              动 (招手)向...示意 用手、胳膊或头做一个手势来鼓励或指示某人接近或跟随 引申到召唤 通过招手来召唤(某人) 或者吸引 appear attractive or inviting 形似reckon
artifact            名 人工制品 由人类制造或修改的物品，尤指具有文化或历史意义的物品 人为行为 在科学调查或实验中观察到的东西，不是自然存在的，而是作为准备或调查过程的结果而出现的 同artefact英式说法
parish              名 教区堂区 (在基督教中)一个小的行政区域，通常有自己的教堂和牧师 引申到乡村行政小区 地方政府的最小单位，只存在于农村地区 英式说法 也作 civil parish
sponge              名 海绵 一种原始的水生无脊椎动物，具有柔软多孔的身体，通常由纤维或钙质或玻璃状针状结构支撑海绵吸收水流来吸收营养和氧气 海绵块(天然或人造) 一块柔软、轻、多孔的吸收物质，最初由水生无脊椎动物的纤维骨架组成，但现在通常由合成材料制成，用于洗涤和清洁 松糕松软布丁 一种用糖、面粉、通常是黄油或其它脂肪把鸡蛋搅打而成的轻饼 也作sponge cake 揩油者 靠别人的钱生活的人 动 用海绵擦拭 wipe or clean with a wet sponge or cloth 白得白吃 从别人那里获得或接受金钱或食物，而没有做或打算做任何回报
feminine            形 女性特有的女子气的 具有传统上与妇女或女孩有关的品质或外表的 引申到女性的 relating to women or girls;female 词根feminize 形似feminist
isle                名 小岛 岛屿或半岛，尤指小岛
syndicate           动 企业联合组织(辛迪加) 为促进共同利益而联合起来的一群个人或组织 引申到报业集团(报业辛迪加) 同时向多家报纸或期刊提供材料的协会或机构 a committee of syndics 动 受到syndicate(辛迪加)管理控制 control or manage by a syndicate 引申到把(文章、图片、电视节目等)出售给多个媒体(报业辛迪加) 在多家报纸、电视台等同时出版或播放(材料)
yoke                名 轭 拴在两只动物脖子上的木制横木，拴在它们要拉的犁或车上 抵肩 衣服的一部分，可盖过肩膀，并与衣服的主要部分相连 动 用轭把…套在一起 给(一对牲畜)套上轭;用轭连接 引申到使…连在一起连接 使(两个人或两件事)紧密联系在一起 
malice              名 恶意 the desire to harm someone;ill will 自是词根 同根词malicious malignant
outlaw              名 违法者逃犯 违法的人，尤指逍遥法外或在逃的人 引申到被剥夺法律权益者 被剥夺法律利益和保护的人 动 使非法禁止 ban or make illegal 引申到剥夺(某人)法律权益 剥夺(某人)法律的利益和保护
assurance           名 保证 旨在给予信心的积极宣言;一个承诺 自信 对自己能力的自信或肯定 引申到把握 certainty about something 保险(人寿) insurance,specifically life insurance 多用于英式说法 词根assure
peck                动 啄 (指鸟)用喙击打或咬某物 引申到匆匆轻吻 轻轻地或敷衍地吻(某人) 或没精打采的吃或打字 名 啄 被鸟喙啄或咬 引申到匆忙轻吻
tropic              名 回归线 北(北回归线)或南(南回归线)的纬线 引申到热带地区 用法the tropics 形 等同于tropical(形 热带的 非常湿热的) 自是词根 同根词tropical 意似humid
dismantle           动 拆开拆卸废除取消 把(机器或结构)拆成碎片
lotion              名 护肤液润肤乳 一种浓稠、光滑的液体制剂，用于药用或美容目的而涂在皮肤上
porch               名 入口处门廊 建筑物入口前突出的有盖的遮蔽处 引申到走廊 a veranda(房子外面有屋顶的平台，与地面平) 北美英语说法
preside             动 主持担任主持 在会议或其他集会中处于权威地位 引申到主管掌管 掌管(地方或情况) 领奏主奏 在公众集会上演奏(乐器，尤指键盘乐器) 形似president
tumble              动 跌落坠落 突然地、笨拙地或一头倒下去 引申到跌跌撞撞地走冲 以轻率或不受控制的方式移动或冲 或者暴跌 在数量或价值上迅速下降 或者弄乱弄皱 rumple;disarrange 名 跌落坠落 引申到暴跌 或者弄乱弄皱  形似humble
