lipstick ˈlɪpstɪk  ˈlɪpstɪk
treasury ˈtreʒəri  ˈtreʒəri
astray əˈstreɪ  əˈstreɪ
beckon ˈbekən  ˈbekən
artifact ˈɑːtɪfækt  ˈɑːrtɪfækt
parish ˈpærɪʃ  ˈpærɪʃ
sponge spʌndʒ  spʌndʒ
feminine ˈfemənɪn  ˈfemənɪn
isle aɪl  aɪl
syndicate ˈsɪndɪkət  ˈsɪndɪkeɪt; ˈsɪndɪkət
yoke jəʊk  joʊk
malice ˈmælɪs  ˈmælɪs
outlaw ˈaʊtlɔː  ˈaʊtlɔː
assurance əˈʃʊərəns  əˈʃʊrəns
peck pek  pek
tropic ˈtrɒpɪk  ˈtrɑːpɪk
dismantle dɪsˈmænt(ə)l  dɪsˈmænt(ə)l
lotion ˈləʊʃn  ˈloʊʃn
porch pɔːtʃ  pɔːrtʃ
preside prɪˈzaɪd  prɪˈzaɪd
tumble ˈtʌmb(ə)l  ˈtʌmb(ə)l
blank blæŋk  blæŋk
zoom zuːm  zuːm
linen ˈlɪnɪn  ˈlɪnɪn
tribune ˈtrɪbjuːn  ˈtrɪbjuːn
detection dɪˈtekʃ(ə)n  dɪˈtekʃ(ə)n
unanimous juˈnænɪməs  juˈnænɪməs
underlying ˌʌndəˈlaɪɪŋ  ˌʌndərˈlaɪɪŋ
corporeal kɔːˈpɔːriəl  kɔːrˈpɔːriəl
lieutenant lefˈtenənt  luːˈtenənt
squad skwɒd  skwɑːd
decree dɪˈkriː  dɪˈkriː
discrete dɪˈskriːt  dɪˈskriːt
