considerate             形 考虑周到的体贴的 小心注意不要给他人带来不便或伤害
partition               名 (国家)分裂分割 (尤指有独立政府区域的国家)分裂或被分裂成部分的行为或状态 隔墙隔板 将空间分成两部分的结构，尤指浅色的内墙 引申到(计算机)存储分区 一些操作系统将内存或存储器划分为若干部分中的每一部分 动 分割 divide into parts 如分割国家 引申到分隔 用隔板把(房间)分成更小的房间或区域 词根part
imaginative             形 富于想象力的 具有或表现出创造性或发明的 词根imagine  ɪˈmædʒɪn
formidable              形 可怕难克服对付的令人敬畏的 通过令人印象深刻的巨大、强大、强烈或能干而引起恐惧或尊敬的
feeble                  形 有气无力虚弱的 缺乏体力的，尤指由于年老或疾病的结果 引申到微弱的 (of a sound) faint 或者懦弱的 缺乏性格力量的 或者站不住脚的 难以说服或打动的
stab                    动 刺戳捅 用刀或其他有尖的武器刺入(某人)以刺伤或杀死 引申到指做出刺动作 用尖尖的物体对某物做出猛刺的手势或动作 或者刺穿 (指尖锐的物体)猛烈地刺穿 用法stab into/through 或者刺痛 (指疼痛或痛苦的事物)引起突然的强烈的感觉 名 刺 用刀或其他有尖的武器刺 引申到刺伤突发的一阵剧痛
confederation           名 联盟 由若干党派或团体组成的联盟或 引申到(加拿大)联盟 一个或多或少永久的国家联盟，部分或大部分的政治权力被赋予一个中央权威 或者联盟行为状态 联合的行动或被联合的状态 辨析confederation 邦联，美国独立时就是这个， 各州自己权利大于中央政府 federation 联邦 美国现在政体，中央政府高于各州
deport                  动 把...驱逐出境 将(外国人)驱逐出一个国家，尤指以非法身份或犯罪为理由 引申到流放 exile (a native) to another country 相同的行为不同的作用对象
lash                    动 鞭打 用鞭子或棍子打 引申到猛击 (尤指风或水)猛烈地拍打(某物) 甩动 (指动物)迅速而猛烈地移动(身体的某一部分，尤指尾巴)或者身体部位作主语 捆牢 用绳子或绳子牢牢地固定(某物) 名 鞭打 引申到鞭梢 鞭子的柔软的皮革部分，用于抽打 或者鞭刑 用鞭子或绳子鞭打的惩罚 睫毛 an eyelash
carve                   动 雕刻 为了制作物体、图案或铭文而切割(硬材料)的或者通过切割坚硬的材料制作(一个物体、铭文或图案) 两者主语不同一个是材料一个是成品 切开切肉 把(熟肉)切成片吃或者从大块肉上切下(一片肉) 建立赢得 通过努力工作为自己建立(事业、角色或声誉)
wield                   动 挥舞操 hold and use (a weapon or tool) 引申到行使运用 拥有并能够使用(权力或影响) 形似weird  wɪəd 对比wield wiːld
