considerate kənˈsɪdərət  kənˈsɪdərət
partition pɑːˈtɪʃ(ə)n  pɑːrˈtɪʃ(ə)n
imaginative ɪˈmædʒɪnətɪv  ɪˈmædʒɪnətɪv
formidable fəˈmɪdəb(ə)l  ˈfɔːrmɪdəb(ə)l
feeble ˈfiːb(ə)l  ˈfiːb(ə)l
stab stæb  stæb
confederation kənˌfedəˈreɪʃ(ə)n  kənˌfedəˈreɪʃ(ə)n
deport dɪˈpɔːt  dɪˈpɔːrt
lash læʃ  læʃ
carve kɑːv  kɑːrv
wield wiːld  wiːld
cork kɔːk  kɔːrk
vow vaʊ  vaʊ
shutter ˈʃʌtə(r)  ˈʃʌtər
obstruct əbˈstrʌkt  əbˈstrʌkt
artillery ɑːˈtɪləri  ɑːrˈtɪləri
taboo təˈbuː  təˈbuː
contingent kənˈtɪndʒənt  kənˈtɪndʒənt
avenge əˈvendʒ  əˈvendʒ
terrain təˈreɪn  təˈreɪn
parasite ˈpærəsaɪt  ˈpærəsaɪt
peg peɡ  peɡ
massacre ˈmæsəkə(r)  ˈmæsəkər
courtesy ˈkɜːtəsi  ˈkɜːrtəsi
interrogate ɪnˈterəɡeɪt  ɪnˈterəɡeɪt
sergeant ˈsɑːdʒənt  ˈsɑːrdʒənt
pumpkin ˈpʌmpkɪn  ˈpʌmpkɪn
abreast əˈbrest  əˈbrest
commemorate kəˈmeməreɪt  kəˈmeməreɪt
multilateral ˌmʌltiˈlætərəl  ˌmʌltiˈlætərəl
anonymous əˈnɒnɪməs  əˈnɑːnɪməs
depreciate dɪˈpriːʃieɪt  dɪˈpriːʃieɪt
vogue vəʊɡ  voʊɡ
