vest vest  vest
humiliate hjuːˈmɪlieɪt  hjuːˈmɪlieɪt
flap flæp  flæp
solicitor səˈlɪsɪtə(r)  səˈlɪsɪtər
censor ˈsensə(r)  ˈsensər
brigade brɪˈɡeɪd  brɪˈɡeɪd
exposition ˌekspəˈzɪʃ(ə)n  ˌekspəˈzɪʃ(ə)n
clearance ˈklɪərəns  ˈklɪrəns
retrospect ˈretrəspekt  ˈretrəspekt
telecommunication ˌtelikəˌmjuːnɪˈkeɪʃ(ə)n  ˌtelikəˌmjuːnɪˈkeɪʃ(ə)n
aloft əˈlɒft  əˈlɔːft
equator ɪˈkweɪtə(r)  ɪˈkweɪtər
preoccupy priˈɒkjupaɪ  priˈɑːkjupaɪ
electrician ɪˌlekˈtrɪʃ(ə)n  ɪˌlekˈtrɪʃn
sieve sɪv  sɪv
cradle ˈkreɪd(ə)l  ˈkreɪd(ə)l
elapse ɪˈlæps  ɪˈlæps
inlet ˈɪnlet  ˈɪnlet
rectangular rekˈtæŋɡjələ(r)  rekˈtæŋɡjələr
muscular ˈmʌskjələ(r)  ˈmʌskjələr
parachute ˈpærəʃuːt  ˈpærəʃuːt
grease ɡriːs  ɡriːs
mingle ˈmɪŋɡ(ə)l  ˈmɪŋɡ(ə)l
cliche ˈkliːʃeɪ  kliːˈʃeɪ
shrewd ʃruːd  ʃruːd
temperament ˈtemprəmənt  ˈtemprəmənt
mercury ˈmɜːkjəri  ˈmɜːrkjə
intermittent ˌɪntəˈmɪtənt  ˌɪntərˈmɪtənt
curtail kɜːˈteɪl  kɜːrˈteɪl
veil veɪl  veɪl
coward ˈkaʊəd  ˈkaʊərd
archive ˈɑːkaɪv  ˈɑːrkaɪv
lyric ˈlɪrɪk  ˈlɪrɪk
