overpass ˈəʊvəpɑːs  ˈoʊvərpæs
snob snɒb  snɑːb
transient ˈtrænziənt  ˈtrænʃənt; ˈtrænsiənt; ˈtrænʒənt; ˈtrænziənt
dissent dɪˈsent  dɪˈsent
latitude ˈlætɪtjuːd  ˈlætɪtuːd
intellect ˈɪntəlekt  ˈɪntəlekt
periodical ˌpɪəriˈɒdɪk(ə)l  ˌpɪriˈɑːdɪk(ə)l
tanker ˈtæŋkə(r)  ˈtæŋkər
affirm əˈfɜːm  əˈfɜːrm
clockwise ˈklɒkwaɪz  ˈklɑːkwaɪz
jolly ˈdʒɒli  ˈdʒɑːli
fling flɪŋ  flɪŋ
unify ˈjuːnɪfaɪ  ˈjuːnɪfaɪ
analogue ˈænəlɒɡ  ˈænəlɔːɡ
stationery ˈsteɪʃənri  ˈsteɪʃəneri
minibus ˈmɪnibʌs  ˈmɪnibʌs
gleam ɡliːm  ɡliːm
buffer ˈbʌfə(r)  ˈbʌfər
detain dɪˈteɪn  dɪˈteɪn
synonym ˈsɪnənɪm  ˈsɪnənɪm
Easter ˈiːstə(r)  ˈiːstər
maternal məˈtɜːn(ə)l  məˈtɜːrn(ə)l
symmetry ˈsɪmətri  ˈsɪmətri
whirl wɜːl  wɜːrl
almighty ɔːlˈmaɪti  ɔːlˈmaɪti
stationary ˈsteɪʃənri  ˈsteɪʃəneri
wink wɪŋk  wɪŋk
meticulous məˈtɪkjələs  məˈtɪkjələs
electoral ɪˈlektərəl  ɪˈlektərəl
commonwealth ˈkɒmənwelθ  ˈkɑːmənwelθ
appraisal əˈpreɪz(ə)l  əˈpreɪz(ə)l
timid ˈtɪmɪd  ˈtɪmɪd
crumble ˈkrʌmb(ə)l  ˈkrʌmb(ə)l
