financial faɪˈnænʃ(ə)l  faɪˈnænʃ(ə)l
finance ˈfaɪnæns  ˈfaɪnæns
engage ɪnˈɡeɪdʒ  ɪnˈɡeɪdʒ
emergency ɪˈmɜːdʒənsi  ɪˈmɜːrdʒənsi
emergence ɪˈmɜːdʒəns  ɪˈmɜːrdʒəns
bacteria bækˈtɪəriə  bækˈtɪriə
bacterium bækˈtɪəriəm  bækˈtɪriəm
political pəˈlɪtɪk(ə)l  pəˈlɪtɪk(ə)l
politics ˈpɒlətɪks  ˈpɑːlətɪks
polity ˈpɒləti  ˈpɑːləti
knit nɪt  nɪt
weave wiːv  wiːv
promote prəˈməʊt  prəˈmoʊt
prompt prɒmpt  prɑːmpt
panel ˈpæn(ə)l  ˈpæn(ə)l
solar ˈsəʊlə(r)  ˈsoʊlər
lunar ˈluːnə(r)  ˈluːnər
calorie ˈkæləri  ˈkæləri
muscle ˈmʌs(ə)l  ˈmʌs(ə)l
poverty ˈpɒvəti  ˈpɑːvərti
property ˈprɒpəti  ˈprɑːpərti
mission ˈmɪʃ(ə)n  ˈmɪʃ(ə)n
missile ˈmɪsaɪl  ˈmɪs(ə)l
expense ɪkˈspens  ɪkˈspens
recession rɪˈseʃ(ə)n  rɪˈseʃ(ə)n
recess ˈriːses; rɪˈses  ˈriːses
boost buːst  buːst
immigrant ˈɪmɪɡrənt  ˈɪmɪɡrənt
migrant ˈmaɪɡrənt  ˈmaɪɡrənt
migrate maɪˈɡreɪt  ˈmaɪɡreɪt
claim kleɪm  kleɪm
cancer ˈkænsə(r)  ˈkænsər
career kəˈrɪə(r)  kəˈrɪr
loan ləʊn  loʊn
peer pɪə(r)  pɪr
variety vəˈraɪəti  vəˈraɪəti
various ˈveəriəs  ˈveriəs
chief tʃiːf  tʃiːf
crisis ˈkraɪsɪs  ˈkraɪsɪs
crises ˈkraɪsiːz  ˈkraɪsiz
discipline ˈdɪsəplɪn  ˈdɪsəplɪn
enhance ɪnˈhɑːns  ɪnˈhæns
fund fʌnd  fʌnd
funding ˈfʌndɪŋ  ˈfʌndɪŋ
vehicle ˈviːəkl  ˈviːəkl; ˈviːhɪkl
bet bet  bet
fossil ˈfɒs(ə)l  ˈfɑːs(ə)l
imply ɪmˈplaɪ  ɪmˈplaɪ
dishearten dɪsˈhɑːtn  dɪsˈhɑːrtn
military ˈmɪlətri  ˈmɪləteri
trap træp  træp
immune ɪˈmjuːn  ɪˈmjuːn
induce ɪnˈdjuːs  ɪnˈduːs
revenue ˈrevənjuː  ˈrevənuː
avenue ˈævənjuː  ˈævənuː
whale weɪl  weɪl
council ˈkaʊns(ə)l ˈkaʊns(ə)l
pupil ˈpjuːp(ə)l  ˈpjuːp(ə)l
