dock dɒk  dɑːk
doctoral ˈdɒktərəl  ˈdɑːktərəl
doom duːm  duːm
earnest ˈɜːnɪst  ˈɜːrnɪst
expressway ɪkˈspresweɪ  ɪkˈspresweɪ
factual ˈfæktʃuəl  ˈfæktʃuəl
faithful ˈfeɪθf(ə)l  ˈfeɪθf(ə)l
fearful ˈfɪəf(ə)l  ˈfɪrf(ə)l
ferry ˈferi  ˈferi
float fləʊt  floʊt
fluctuate ˈflʌktʃueɪt  ˈflʌktʃueɪt
forge fɔːdʒ  fɔːrdʒ
fraction ˈfrækʃn  ˈfrækʃ(ə)n
freight freɪt  freɪt
geology dʒiˈɒlədʒi  dʒiˈɑːlədʒi
germ dʒɜːm  dʒɜːrm
handicap ˈhændikæp  ˈhændikæp
harmony ˈhɑːməni  ˈhɑːrməni
haul hɔːl  hɔːl
haze heɪz  heɪz
hectare ˈhekteə(r)  ˈhekter
herd hɜːd  hɜːrd
hospitable hɒˈspɪtəb(ə)l  ˈhɑːspɪtəb(ə)l
humble ˈhʌmb(ə)l  ˈhʌmb(ə)l
hut hʌt  hʌt
indispensable ˌɪndɪˈspensəb(ə)l  ˌɪndɪˈspensəb(ə)l
inhabitant ɪnˈhæbɪtənt  ɪnˈhæbɪtənt
integration ˌɪntɪˈɡreɪʃ(ə)n  ˌɪntɪˈɡreɪʃ(ə)n
irrational ɪˈræʃən(ə)l  ɪˈræʃən(ə)l
jungle ˈdʒʌŋɡ(ə)l  ˈdʒʌŋɡ(ə)l
landlord ˈlændlɔːd  ˈlændlɔːrd
liable ˈlaɪəb(ə)l  ˈlaɪəb(ə)l
lily ˈlɪli  ˈlɪli
lodge lɒdʒ  lɑːdʒ
loop luːp  luːp
lord lɔːd  lɔːrd
lump lʌmp  lʌmp
manipulate məˈnɪpjuleɪt  məˈnɪpjuleɪt
misfortune ˌmɪsˈfɔːtʃuːn  ˌmɪsˈfɔːrtʃən
molecule ˈmɒlɪkjuːl  ˈmɑːlɪkjuːl
monetary ˈmʌnɪtri  ˈmɑːnɪteri
motive ˈməʊtɪv  ˈmoʊtɪv
nightmare ˈnaɪtmeə(r)  ˈnaɪtmer
noticeable ˈnəʊtɪsəb(ə)l  ˈnoʊtɪsəb(ə)l
nuisance ˈnjuːsns  ˈnuːs(ə)ns
orderly ˈɔːdəli  ˈɔːrdərli
organ ˈɔːɡən  ˈɔːrɡən
organism ˈɔːɡənɪzəm  ˈɔːrɡənɪzəm
ounce aʊns aʊns
oversee ˌəʊvəˈsiː  ˌoʊvərˈsiː
