pat pæt  pæt
pea piː  piː
persevere ˌpɜːsəˈvɪə(r)  ˌpɜːrsəˈvɪr
pessimism ˈpesɪmɪzəm  ˈpesɪmɪzəm
pillar ˈpɪlə(r)  ˈpɪlər
pinch pɪntʃ  pɪntʃ
pledge pledʒ  pledʒ
plural ˈplʊərəl  ˈplʊrəl
portrait ˈpɔːtreɪt  ˈpɔːrtrət
priest priːst  priːst
profile ˈprəʊfaɪl  ˈproʊfaɪl
publication ˌpʌblɪˈkeɪʃn  ˌpʌblɪˈkeɪʃ(ə)n
rack ræk  ræk
realm relm  relm
rear rɪə(r)  rɪr
recreation ˌriːkriˈeɪʃn; ˌrekriˈeɪʃən  ˌriːkriˈeɪʃn; ˌrekriˈeɪʃən
removal rɪˈmuːv(ə)l  rɪˈmuːv(ə)l
reservoir ˈrezəvwɑː(r)  ˈrezərvwɑːr
residence ˈrezɪdəns  ˈrezɪdəns
restrain rɪˈstreɪn  rɪˈstreɪn
revolve rɪˈvɒlv  rɪˈvɑːlv
rib rɪb  rɪb
rub rʌb  rʌb
saddle ˈsæd(ə)l  ˈsæd(ə)l
scar skɑː(r)  skɑːr
scent sent  sent
segment ˈseɡmənt  ˈseɡmənt
shield ʃiːld  ʃiːld
shiver ˈʃɪvə(r)  ˈʃɪvər
sin sɪn  sɪn
sketch sketʃ  sketʃ
skim skɪm  skɪm
slide slaɪd  slaɪd
smash smæʃ  smæʃ
snap snæp  snæp
sphere sfɪə(r)  sfɪr
startle ˈstɑːt(ə)l  ˈstɑːrt(ə)l
stripe straɪp  straɪp
succession səkˈseʃ(ə)n  səkˈseʃ(ə)n
summit ˈsʌmɪt  ˈsʌmɪt
tame teɪm  teɪm
thrust θrʌst  θrʌst
timber ˈtɪmbə(r)  ˈtɪmbər
toll təʊl  toʊl
torture ˈtɔːtʃə(r)  ˈtɔːrtʃər
toss tɒs  tɔːs
trim trɪm  trɪm
uncover ʌnˈkʌvə(r)  ʌnˈkʌvər
utmost ˈʌtməʊst  ˈʌtmoʊst
veteran ˈvetərən  ˈvetərən
