spectacular spekˈtækjələ(r)  spekˈtækjələr
brag bræɡ  bræɡ
frown fraʊn  fraʊn
crust krʌst  krʌst
jealous ˈdʒeləs  ˈdʒeləs
conscientious ˌkɒnʃiˈenʃəs  ˌkɑːnʃiˈenʃəs
lick lɪk  lɪk
enclose ɪnˈkləʊz  ɪnˈkloʊz
heir eə(r)  er
purity ˈpjʊərəti  ˈpjʊrəti
blonde blɒnd  blɑːnd
elastic ɪˈlæstɪk  ɪˈlæstɪk
biotechnology ˌbaɪəʊtekˈnɒlədʒi  ˌbaɪoʊtekˈnɑːlədʒi
juicy ɪnˈsʌfrəbl  ɪnˈsʌfrəbl
torch ˈædvent kælɪndə(r)  An error occurred: 'usphone'
cliff klɪf  klɪf
brass brɑːs  bræs
influenza ˌɪnfluˈenzə  ˌɪnfluˈenzə
homosexual ˌhəʊməˈsekʃuəl; ˌhɒməˈsekʃuəl  ˌhoʊməˈsekʃuəl
cop kɒp  kɑːp
massage An error occurred: 'ukphone'
defect ˈdiːfekt  ˈdiːfekt
continuity ˌkɒntɪˈnjuːəti  ˌkɑːntɪˈnuːəti
dent dent  dent
bumper ˈbʌmpə(r)  ˈbʌmpər
preferable ˈprefrəb(ə)l  ˈprefrəb(ə)l
rouse raʊz  raʊz
textile ˈtekstaɪl  ˈtekstaɪl
whisky ˈwɪski  ˈwɪski
ribbon ˈrɪbən  ˈrɪbən
pirate ˈpaɪrət  ˈpaɪrət
condense kənˈdens  kənˈdens
senate ˈsenət  ˈsenət
blast ɪnˈsɜːdʒəns  ɪnˈsɜːrdʒəns
paddy ˈpædi  ˈpædi
banknote ˈbæŋknəʊt  ˈbæŋknoʊt
elbow ˈelbəʊ  ˈelboʊ
lag læɡ  læɡ
nude ˌserəˈneɪd  ˌserəˈneɪd
rifle ˈraɪf(ə)l  ˈraɪf(ə)l
liquor ˈlɪkə(r)  ˈlɪkər
strap ˈwʊlɪbʌt  An error occurred: 'usphone'
coupon ˈkuːpɒn  ˈkuːpɑːn
memorandum ˌmeməˈrændəm  ˌmeməˈrændəm
