climax ˈklaɪmæks  ˈklaɪmæks
optical ˈɒptɪk(ə)l  ˈɑːptɪk(ə)l
lad læd  læd
volt vəʊlt  voʊlt
lawn lɔːn  lɔːn
vibrate ˈɪɡnərəns  ˈɪɡnərəns
vibrant ˈvaɪbrənt  ˈvaɪbrənt
thermometer θəˈmɒmɪtə(r)  θərˈmɑːmɪtər
coherent kəʊˈhɪərənt  koʊˈhɪrənt
inherent ɪnˈherənt  ɪnˈherənt
grip ɡrɪp  ɡrɪp
ozone ˈəʊzəʊn  ˈoʊzoʊn
lest lest  lest
repetition ˌrepəˈtɪʃ(ə)n  ˌrepəˈtɪʃ(ə)n
rumour ˈruːmə(r)  ˈruːmər
bolt bəʊlt  boʊlt
trifle ˈtraɪf(ə)l  ˈtraɪf(ə)l
sigh saɪ  saɪ
tropical ˈtrɒpɪk(ə)l  ˈtrɑːpɪk(ə)l
madden ˈmædn  ˈmædn
rotten ˈrɒt(ə)n  ˈrɑːt(ə)n
shrug ʃrʌɡ  ʃrʌɡ
dam hɔːˈməʊnl  hɔːrˈmoʊnl
erroneous ɪˈrəʊniəs  ɪˈroʊniəs
brandy ˈbrændi  ˈbrændi
gross ɡrəʊs  ɡroʊs
beggar ˈbeɡə(r)  ˈbeɡər
publicity pʌbˈlɪsəti  pʌbˈlɪsəti
ashore əˈʃɔː(r)  əˈʃɔːr
honourable ˈɒnərəb(ə)l  ˈɑːnərəb(ə)l
scout skaʊt  skaʊt
rug rʌɡ  rʌɡ
maiden ˈmeɪdn  ˈmeɪd(ə)n
gravitation ˌɡrævɪˈteɪʃ(ə)n  ˌɡrævɪˈteɪʃ(ə)n
pastime ˈpɑːstaɪm  ˈpæstaɪm
