federation ˌfedəˈreɪʃ(ə)n  ˌfedəˈreɪʃ(ə)n
lass læs  læs
kin kɪn  kɪn
dispatch aɪ  aɪ
naked ˈneɪkɪd  ˈneɪkɪd
pistol ˈpɪst(ə)l  ˈpɪst(ə)l
subtract səbˈtrækt  səbˈtrækt
concede kənˈsiːd  kənˈsiːd
chin tʃɪn  tʃɪn
webcast ɪˌkwestrɪˈen  ɪˌkwestrɪˈen
bribe braɪb  braɪb
drunk drʌŋk  drʌŋk
fulfil fʊlˈfɪl  fʊlˈfɪl
clash klæʃ  klæʃ
dual ˈdjuːəl  ˈduːəl
axe æks  æks
horsepower ˈhɔːspaʊə(r)  ˈhɔːrspaʊər
cohesion kəʊˈhiːʒ(ə)n  koʊˈhiːʒ(ə)n
amongst əˈmʌŋst  əˈmʌŋst
synthetic sɪnˈθetɪk  sɪnˈθetɪk
erect ɪˈrekt  ɪˈrekt
payroll ˈpeɪrəʊl  ˈpeɪroʊl
bowel ˈbaʊəl  ˈbaʊəl
stool stuːl  stuːl
hedge hedʒ  hedʒ
confess kənˈfes  kənˈfes
pronoun ˈprəʊnaʊn  ˈproʊnaʊn
kneel niːl  niːl
overdue ˌəʊvəˈdjuː  ˌoʊvərˈduː
podcast ˈpɒdkɑːst  ˈpɑːdkæst
coil kɔɪl  kɔɪl
regarding rɪˈɡɑːdɪŋ  rɪˈɡɑːrdɪŋ
municipal mjuːˈnɪsɪp(ə)l  mjuːˈnɪsɪp(ə)l
brow braʊ  braʊ
prose prəʊz  proʊz
briefcase ˈbriːfkeɪs  ˈbriːfkeɪs
grin ɡrɪn  ɡrɪn
