bystander ˈbaɪstændə(r)  ˈbaɪstændər
nourish em  em
odour ˈəʊdə(r)  ˈoʊdər
preposition ˌprepəˈzɪʃ(ə)n  ˌprepəˈzɪʃ(ə)n
cane keɪn  keɪn
stoop stuːp  stuːp
veto ˈviːtəʊ  ˈviːtoʊ
coinage ˈkɔɪnɪdʒ  ˈkɔɪnɪdʒ
whilst waɪlst  waɪlst
forestry ˈfɒrɪstri  ˈfɔːrɪstri
celsius ˈselsiəs  ˈselsiəs
diameter daɪˈæmɪtə(r)  daɪˈæmɪtər
electron ɪˈlektrɒn  ɪˈlektrɑːn
narrate nəˈreɪt  ˈnæreɪt
dime daɪm  daɪm
slender ˈslendə(r)  ˈslendər
metric ˈmetrɪk  ˈmetrɪk
lens lenz  lenz
installment ɪnˈstɔːlmənt  ɪnˈstɔːlmənt
raid dʒeɪ  dʒeɪ
clown klaʊn  klaʊn
commune ˈkɒmjuːn; kəˈmjuːn  ˈkɑːmjuːn; kəˈmjuːn
waken ˈweɪkən  ˈweɪkən
heave əˈtriːʒɪə  əˈtriʒə
eternal ɪˈtɜːn(ə)l  ɪˈtɜːrn(ə)l
procession prəˈseʃ(ə)n  prəˈseʃ(ə)n
modernization ˌmɒdənaɪˈzeɪʃ(ə)n  ˌmɑːdərnəˈzeɪʃ(ə)n
furnace ˈfɜːnɪs  ˈfɜːrnɪs
heartfelt ˈhɑːtfelt  ˈhɑːrtfelt
conjunction kənˈdʒʌŋkʃ(ə)n  kənˈdʒʌŋkʃ(ə)n
preceding prɪˈsiːdɪŋ  prɪˈsiːdɪŋ
preface ˈprefəs  ˈprefəs
trolly ˈtrɒli  ˈtrɑːli
conceal ˈsəʊbərɪŋ  ˈsoʊbərɪŋ
plumbing ˈplʌmɪŋ  ˈplʌmɪŋ
proclaim prəˈkleɪm  prəˈkleɪm
engineering ˌendʒɪˈnɪərɪŋ  ˌendʒɪˈnɪrɪŋ
