continual kənˈtɪnjuəl  kənˈtɪnjuəl
bait beɪt  beɪt
loophole ˈluːphəʊl  ˈluːphoʊl
authorize ˈɔːθəraɪz  ˈɔːθəraɪz
withstand wɪðˈstænd  wɪðˈstænd
colon ˈkəʊlən; ˈkəʊlɒn  ˈkoʊlən
aptitude ˈæptɪtjuːd  ˈæptɪtuːd
slam slæm  slæm
Marxist ˈmɑːksɪst  ˈmɑːrksɪst
marsh mɑːʃ  mɑːrʃ
learned ˈlɜːnɪd  ˈlɜːrnɪd
fable ˈfeɪb(ə)l  ˈfeɪb(ə)l
nickel ˈnɪk(ə)l  ˈnɪk(ə)l
republican rɪˈpʌblɪkən  rɪˈpʌblɪkən
deficient dɪˈfɪʃ(ə)nt  dɪˈfɪʃ(ə)nt
wax wæks  wæks
lavatory ˈlævətri  ˈlævətɔːri
siege siːdʒ  siːdʒ
hyphen ˈhaɪfn  ˈhaɪfn
accordance əˈkɔːd(ə)ns  əˈkɔːrdns
customs ˈkʌstəmz  ˈkʌstəmz
ore ɔː(r)  ɔːr
allege əˈledʒ  əˈledʒ
clear-cut ˌklɪə ˈkʌt  ˌklɪr ˈkʌt
petty ˈpeti  ˈpeti
provided prəˈvaɪdɪd  prəˈvaɪdɪd
bloody ˈblʌdi  ˈblʌdi
crane An error occurred: 'ukphone'
considering kənˈsɪdərɪŋ  kənˈsɪdərɪŋ
charter ˈtʃɑːtə(r)  ˈtʃɑːrtər
zoology zuˈɒlədʒi  zuˈɑːlədʒi
naughty ˈnɔːti  ˈnɔːti
socialism ˈsəʊʃəlɪz(ə)m  ˈsoʊʃəlɪz(ə)m
coarse kɔːs  kɔːrs
watertight ˈwɔːtətaɪt  ˈwɔːtərtaɪt
commence kəˈmens  kəˈmens
spontaneous diː  diː
absentee ˌæbsənˈtiː  ˌæbsənˈtiː
afloat əˈfləʊt  əˈfloʊt
asymmetric ˌeɪsɪˈmetrɪk  ˌeɪsɪˈmetrɪk
