bizarre bɪˈzɑː(r)  bɪˈzɑːr
bulky ˈbʌlki  ˈbʌlki
census ˈsensəs  ˈsensəs
chlorophyll ˈklɒrəfɪl  ˈklɔːrəfɪl
clinical ˈklɪnɪk(ə)l  ˈklɪnɪk(ə)l
colonize ˈkɒlənaɪz  ˈkɑːlənaɪz
counterproductive ˌkaʊntəprəˈdʌktɪv  ˌkaʊntərprəˈdʌktɪv
craze kreɪz  kreɪz
cripple ˈkrɪp(ə)l  ˈkrɪp(ə)l
cyclical ˈsaɪklɪk(ə)l  ˈsaɪklɪk(ə)l
divine dɪˈvaɪn  dɪˈvaɪn
donor ˈdəʊnə(r)  ˈdoʊnər
earthy ˈɜːθi  ˈɜːrθi
empower ɪmˈpaʊə(r)  ɪmˈpaʊər
epidemic ˌepɪˈdemɪk  ˌepɪˈdemɪk
fundraising ˈfʌndreɪzɪŋ  ˈfʌndreɪzɪŋ
gravitate ˈɡrævɪteɪt  ˈɡrævɪteɪt
incidence ˈɪnsɪdəns  ˈɪnsɪdəns
internship ˈɪntɜːnʃɪp  ˈɪntɜːrnʃɪp
limp lɪmp  lɪmp
lobbyist ˈlɒbiɪst  ˈlɑːbiɪst
manifest ˈmænɪfest  ˈmænɪfest
marital ˈmærɪt(ə)l  ˈmærɪt(ə)l
medication ˌmedɪˈkeɪʃn  ˌmedɪˈkeɪʃ(ə)n
methodology ˌmeθəˈdɒlədʒi  ˌmeθəˈdɑːlədʒi
misconception ˌmɪskənˈsepʃ(ə)n  ˌmɪskənˈsepʃ(ə)n
nomination ˌnɒmɪˈneɪʃn  ˌnɑːmɪˈneɪʃn
notably ˈnəʊtəbli  ˈnoʊtəbli
nutritious njuˈtrɪʃəs  nuˈtrɪʃəs
obsolescence ˌɒbsəˈlesəns  ˌɑːbsəˈlesəns
