executive ɪɡˈzekjətɪv  ɪɡˈzekjətɪv
executable ˌeksɪˈkjuːtəbl  ˌeksɪˈkjuːtəbl
execute ˈeksɪkjuːt  ˈeksɪkjuːt
mass mæs  mæs
nap næp  næp
domestic dəˈmestɪk  dəˈmestɪk
mule mjuːl  mjuːl
collapse kəˈlæps  kəˈlæps
collision kəˈlɪʒ(ə)n  kəˈlɪʒ(ə)n
collide kəˈlaɪd  kəˈlaɪd
diabetes ˌdaɪəˈbiːtiːz  ˌdaɪəˈbiːtiːz
federal ˈfedərəl  ˈfedərəl
poll pəʊl  poʊl
prospect ˈprɒspekt  ˈprɑːspekt
prospective prəˈspektɪv  prəˈspektɪv
prosperity prɒˈsperəti  prɑːˈsperəti
prosperous ˈprɒspərəs  ˈprɑːspərəs
qualify ˈkwɒlɪfaɪ  ˈkwɑːlɪfaɪ
qualified ˈkwɒlɪfaɪd  ˈkwɑːlɪfaɪd
spouse spaʊs  spaʊs
automate ˈɔːtəmeɪt  ˈɔːtəmeɪt
heritage ˈherɪtɪdʒ  ˈherɪtɪdʒ
perception pəˈsepʃ(ə)n  pərˈsepʃ(ə)n
perceive pəˈsiːv  pərˈsiːv
physic ˈfɪzɪk  ˈfɪzɪk
asset ˈæset  ˈæset
cope kəʊp  koʊp
crash kræʃ  kræʃ
cultivate ˈkʌltɪveɪt  ˈkʌltɪveɪt
estate ɪˈsteɪt  ɪˈsteɪt
vulnerable ˈvʌlnərəbl  ˈvʌlnərəb(ə)l
appetite ˈæpɪtaɪt  ˈæpɪtaɪt
appetizer ˈæpɪtaɪzə(r)  ˈæpɪtaɪzər
appetizing ˈæpɪtaɪzɪŋ  ˈæpɪtaɪzɪŋ
chore tʃɔː(r)  tʃɔːr
conventional kənˈvenʃən(ə)l  kənˈvenʃən(ə)l
counterpart ˈkaʊntəpɑːt  ˈkaʊntərpɑːrt
counterproductive ˌkaʊntəprəˈdʌktɪv  ˌkaʊntərprəˈdʌktɪv
hinder ˈhɪndə(r)  ˈhɪndər
humanity hjuːˈmænəti  hjuːˈmænəti
myth mɪθ  mɪθ
tutor ˈtjuːtə(r)  ˈtuːtər
commitment kəˈmɪtmənt  kəˈmɪtmənt
contaminate kənˈtæmɪneɪt  kənˈtæmɪneɪt
contamination kənˌtæmɪˈneɪʃ(ə)n  kənˌtæmɪˈneɪʃ(ə)n
faculty ˈfæk(ə)lti  ˈfæk(ə)lti
garbage ˈɡɑːbɪdʒ  ˈɡɑːrbɪdʒ
justice ˈdʒʌstɪs  ˈdʒʌstɪs
proverb ˈprɒvɜːb  ˈprɑːvɜːrb
resolve rɪˈzɒlv  rɪˈzɑːlv
resolution ˌrezəˈluːʃ(ə)n  ˌrezəˈluːʃ(ə)n
romantic rəʊˈmæntɪk  roʊˈmæntɪk
romance rəʊˈmæns  ˈroʊmæns
shed ʃed  ʃed
shuttle ˈʃʌt(ə)l  ˈʃʌt(ə)l
shuffle ˈʃʌf(ə)l  ˈʃʌf(ə)l
therapy ˈθerəpi  ˈθerəpi
artistic ɑːˈtɪstɪk  ɑːrˈtɪstɪk
cereal ˈsɪəriəl  ˈsɪriəl
serial ˈsɪəriəl  ˈsɪriəl
era ˈɪərə  ˈɪrə
infant ˈɪnfənt  ˈɪnfənt
liberal ˈlɪbərəl  ˈlɪbərəl
liberty ˈlɪbəti  ˈlɪbərti
oven ˈʌv(ə)n  ˈʌv(ə)n
librarian laɪˈbreəriən  laɪˈbreriən
weep wiːp  wiːp 
